"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Metabolism","Genetic.Information.Processing","Environmental.Information.Processing","Cellular.Processes","Organismal.Systems","Human.Diseases"
"sig_11",0.858887082050272,0.502567296381076,0.862416868522693,0.981855579199705,0.790027736498686,0.906353099002554,0.710778201954825,0.404787269917516,0.821338387962684,0.871512366731756,0.999999999999997,0.826758113605696,0.838630563042503,0.975080548768199,0.744391725469272,0.859264415898838,0.955487499148604,0.913927510408283,0.828786517897251,0.774277533003992,0.795146462877091,0.87655510638088,0.903116780802755,0.87517617895656,0.775745434294933,0.765310638204119,0.692154202372206,0.530289323310051,0.299401453136039,0.077083208330419,-0.00721557188169369,-0.0118078450552414,-0.0122176675640205,-0.00785103719032236,0.0193843773400953
"sig_12",0.818813489258778,0.490019571511302,0.97834528910148,0.861537187207431,0.917345562096831,0.896601073023561,0.7091433649357,0.405738883491877,0.994817870721708,0.992115858141261,0.826758113605696,0.999999999999996,0.987386969832172,0.881828217164458,0.983076245193329,0.993424101182534,0.90660220660497,0.922258249837381,0.992638036301713,0.912660584483947,0.993856690320376,0.807933783176013,0.899670377624364,0.93100335575869,0.963347767453517,0.797291083691232,0.762282555532948,0.538731939559833,0.30416777729134,0.0572410860020786,-0.00499067369177229,-0.00523057172368113,-0.0104970877703468,-0.00263675046909141,0.0250029689702538
"sig_13",0.860087754986762,0.55740692247145,0.989613447938616,0.881992679247465,0.934160239811075,0.932192914525948,0.765972589767808,0.47799300994859,0.994038084193051,0.988814537907545,0.838630563042503,0.987386969832172,0.999999999999996,0.901541558747732,0.964069179111513,0.988730741641012,0.930289366775526,0.950835690331077,0.990071503164522,0.914620931821338,0.983338495798924,0.852964995907348,0.939331469821362,0.950902317354743,0.965756700679533,0.85073388810773,0.807817665447507,0.607773452430108,0.376910497564458,0.0591424474379787,-0.00579910922591813,-0.0069887151004387,-0.0118327127376433,-0.00385292470192338,0.0216273400093682
"sig_14",0.880586991144688,0.532156725333894,0.917168919850567,0.981179449768041,0.850592210495625,0.949918121421677,0.751572094119908,0.439492305588016,0.884165515303539,0.924244206217699,0.975080548768199,0.881828217164458,0.901541558747732,1.00000000000001,0.81033562991102,0.918165972320657,0.989881876375647,0.972902762918527,0.886944874838718,0.828858889691617,0.860802610855784,0.915720480273391,0.959571330153896,0.928375285588635,0.840548332783154,0.827500813365511,0.747583515759782,0.57445295020795,0.331214238995219,0.0586349768472635,-0.00651570646533843,-0.0102100528773727,-0.0088037424593285,-0.0069779467038009,0.0169226874256652
"sig_15",0.775622063540274,0.46390310301467,0.950217960875413,0.794589957298335,0.891140503174903,0.850047437230714,0.677699356007368,0.382002457133315,0.977806526832678,0.95932243344455,0.744391725469272,0.983076245193329,0.964069179111513,0.81033562991102,1,0.965294884378028,0.848350945160813,0.872100476963717,0.973323766334391,0.887261994413156,0.987147889617086,0.76127517582141,0.84826021727947,0.899864987031551,0.945182970545955,0.767776411695422,0.728775030570185,0.510183674617049,0.283411445747723,0.0453271820716152,-0.000257329026776222,-0.00695062867265837,-0.00890971620702679,-0.00703636949549508,0.0204086383232436
"sig_16",0.838670602754996,0.50352523366208,0.985076035968476,0.890230523921447,0.930567303074702,0.919440308168321,0.728815168330881,0.417974249046399,0.991979016085887,0.997661543411451,0.859264415898838,0.993424101182534,0.988730741641012,0.918165972320657,0.965294884378028,1,0.936010034364871,0.949260734133171,0.990741273709183,0.921565754172498,0.987001949327476,0.839635387449526,0.926445626136873,0.950249019531101,0.963559910687561,0.818103036347534,0.783791407311976,0.556563790020394,0.313693683258875,0.0510984587493994,-0.00541855254522325,-0.00882201850949943,-0.0127637603502951,-0.00549295727315138,0.02110954003633
"sig_17",0.925513819637448,0.59487798583949,0.949556430274326,0.984719726997482,0.894972835475421,0.980818388582419,0.814363432364165,0.501060582952883,0.914645740275274,0.940216399105291,0.955487499148604,0.90660220660497,0.930289366775526,0.989881876375647,0.848350945160813,0.936010034364871,0.999999999999997,0.986473768323275,0.919407720129957,0.857805191171571,0.891265973173076,0.949400096725751,0.983421009153363,0.963176662180829,0.883537976565557,0.886592323644665,0.807938993364702,0.641699368240878,0.388148518251296,0.0766882808619841,-0.00662638756699377,-0.00728886687815383,-0.0094174662178084,-0.0038000738001394,0.0195839980299093
"sig_18",0.912885052792893,0.605926627018084,0.957760014045744,0.952946157117584,0.90850591039804,0.981454466044545,0.814831045418554,0.516134494123868,0.931432728231285,0.950980532147268,0.913927510408283,0.922258249837381,0.950835690331077,0.972902762918527,0.872100476963717,0.949260734133171,0.986473768323275,0.999999999999999,0.934392623182558,0.873088751001569,0.914797583279856,0.93627238989315,0.991615484931699,0.964797533211651,0.906080643750223,0.896120097681354,0.818717763882878,0.649063403361471,0.402454771267805,0.0597986622396537,-0.00200161800743241,-0.00429306489014439,-0.0067490946264837,-0.00230034369829244,0.0207436040809228
"sig_19",0.858113303283358,0.538598943172364,0.991876300528649,0.875181003596869,0.946296834714956,0.922084389431854,0.758122607698093,0.44915006668024,0.995015391483322,0.989558760481419,0.828786517897251,0.992638036301713,0.990071503164522,0.886944874838718,0.973323766334391,0.990741273709183,0.919407720129957,0.934392623182558,1,0.923331788537958,0.990698400088195,0.840287284860295,0.920489574419101,0.954472271659224,0.981211865219795,0.839019131846157,0.816923579666051,0.588487807120564,0.34035307504533,0.0694482055977872,-0.00480269169143127,-0.00545315518068617,-0.0103896573828213,-0.000856493291405458,0.0279225068403416
"sig_20",0.822787324607394,0.526161308329113,0.919909105461748,0.822119616214162,0.961849671347114,0.86344672996601,0.733765600444944,0.445941196456989,0.915035340710281,0.916756955677122,0.774277533003992,0.912660584483947,0.914620931821338,0.828858889691617,0.887261994413156,0.921565754172498,0.857805191171571,0.873088751001569,0.923331788537958,1,0.915780864149281,0.79842662769882,0.86134730650005,0.893564296856505,0.925486350732895,0.798025219830207,0.809079234649353,0.584928806742942,0.344178742275214,0.0736325122962114,-0.0082535231340177,-0.0135612762739468,-0.0191436552349625,-0.00643081420737936,0.0244980167049295
