"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"XRAT",-0.0580790619503796,0.0818087078759009,-0.00848088052951822,-0.100964831076048,0.0337191745601467,0.246891117706807,-0.00142354782145369,0.303740701398887,0.0558100022002301,0.116335313498685,-0.012778353764593,-0.121996143830691,0.0231343904463395,-0.0503523572276586,0.00322409708181916,-0.00937809619148025,-0.0308642214436829,0.0105335002653011,-0.00225933915787522,0.00113531696424225,-0.0052739861376262
"BCAperRGDPL",-0.200304005013981,0.100571422063389,-0.104502666773909,0.14920949754634,-0.137391979730886,0.197152736944348,-0.0834191285950577,0.0942643503333091,-0.0680448770618486,0.0586062923285075,-0.0431975672288626,0.0198226033820587,-0.0479357257654564,0.0376037155370007,0.00633159950082741,-0.0306902251076525,0.0620973425453597,-0.0549951512262216,-0.0408845574757173,-0.00564392830309253,0.00621593434164361
"KCxRGDPL",0.379230434013614,0.27194069452802,0.372313952181605,-0.0290775019306566,-0.166108192270138,-0.0121673525623348,0.166031510365913,-0.072839384918702,0.0491241858780634,-0.0916545118729665,-0.0497005984950717,0.0586872415523324,-0.00397962983779034,0.0381834312116619,0.0545261919069078,-0.00163860393115806,-0.0159794330093188,0.0102750221362897,0.00530233097126218,-0.0035713032250652,-0.000403985750414065
"KGxRGDPL",0.280897452435245,0.14031324202927,0.171921338019043,-0.0419471648467281,-0.0531608780907673,0.0809812575732993,0.284531008217153,-0.0295907819331635,0.0380300686032181,-0.129783002297079,-0.0189002096289665,0.111097805957667,0.0146990674797204,0.00515637563657256,-0.0542308591022754,0.00620274864348085,0.0352877617063266,-0.00651503646025349,0.0159415727942497,-0.0170716203775306,0.00204266581844894
"KIxRGDPL",0.0431392035994932,0.318700294938727,0.432662921654482,0.0490023158674257,-0.0301666553391992,0.0669202748200148,0.217353370964588,0.0282196904514303,-0.078641380390181,0.0439525584324526,-0.0385017634657219,0.0313833709670471,-0.0230403253565359,0.0627831498526607,-0.0185905680535542,-0.00119981645064733,0.00939685713462325,0.0314569046893073,0.0170236070845707,-0.00349019980710621,0.00591994434224898
"KCxRGDPLxPOP",0.699062250542676,-0.0786043859207374,0.211506989957186,-0.293249563387038,0.144179759975597,-0.127726126950177,0.0169594286549679,-0.0121160706903127,0.0347561481690559,0.0194562455683147,0.0172207620098665,-0.0178084600786587,0.0306915087835888,-0.00857648397604212,0.00116630535659823,0.010364197180987,-0.00625912512776383,0.0162238134300885,0.00621951793273736,0.00956433087472358,-0.00198513272330378
"KGxRGDPLxPOP",0.724041566642826,-0.119441284693979,0.21072266105143,-0.26848559800766,0.172011564197194,-0.101285215600303,0.009831929559119,0.0086152415917068,0.0477510234807247,0.0103446534800748,0.0298979652495906,-0.0125509762246394,0.0120198104866126,-0.000559020469041419,0.00085550132867891,0.0107433989890235,-0.002212773342405,0.00786761128393043,0.00756290363945169,0.00664092975506561,-0.00218529477800283
"KIxRGDPLxPOP",0.692573818759865,-0.0221180095826223,0.199702600795657,-0.31640348335139,0.104578359852313,-0.0794011075046393,-0.00382119029242288,-0.00516062968520648,-0.00494444830273867,0.0530484548191586,0.0165534090356673,-0.0305388966415335,0.0360430634396213,-0.0121579071231991,0.00301836117982618,0.00575428042340296,0.00524419679284287,0.0188336959228437,0.0143528698483595,0.0119781811529265,-0.000737286387613192
"RGDPCHxPOP",0.712674980119381,-0.0662580728161749,0.209629106110658,-0.296014282968659,0.13599038210975,-0.1128184120508,0.0095037945161509,-0.00692568924746062,0.0253024616701958,0.0291454910906667,0.0183608661941184,-0.0191481702600619,0.0302745831152736,-0.00755560597082895,0.00119209873778902,0.00841938283831365,-0.0028464221556745,0.0148292765079494,0.0068768045711306,0.00961211030289108,-0.0016497495137443
"RGDPLxPOP",0.712700750050226,-0.0664479331428706,0.209677394080853,-0.29593479462175,0.136176333015384,-0.112818305323794,0.00952117521450631,-0.00686001677229671,0.0254513773483315,0.0291003378523752,0.0184363383486417,-0.0191139355073282,0.0301873916750871,-0.00748915243804413,0.00117178865526835,0.00843476598913809,-0.00286155460638797,0.0147826373100104,0.00686419328614531,0.00960599930711125,-0.00167361969294086
"RGDPL2xPOP",0.712492101319333,-0.06879798881326,0.210552271208882,-0.295395673840681,0.139069171987554,-0.112840890474977,0.00988306922995741,-0.00614334908331923,0.027296137790317,0.0283859651716851,0.0195744531970272,-0.0187909322583684,0.0292513037935429,-0.00700161133618143,0.00123547540266566,0.00852911676191512,-0.00308450334275031,0.0144421371243604,0.00664525563017642,0.00941732482597057,-0.00173707788141222
