"","BCA","KC","KG","KI","LE","OPENK","POP","RGDPCH","RGDPL","RGDPL2","XRAT","BCAperRGDPL","KCxRGDPL","KGxRGDPL","KIxRGDPL","KCxRGDPLxPOP","KGxRGDPLxPOP","KIxRGDPLxPOP","RGDPCHxPOP","RGDPLxPOP","RGDPL2xPOP","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"XRAT",0.0648215709452196,-0.186157487427735,-0.140198072610966,0.421014274193655,0.0835045620498121,-0.0941660616531881,0.0838186158539495,-0.187613050222728,-0.187771021643177,-0.186611984079572,0.999999999999999,0.0938820393953939,-0.257723136838632,-0.283475511658301,-0.0118347232047034,-0.00780827064262475,-0.00990761517475503,0.0702768847233309,0.0105620557530561,0.0105064320777594,0.0099130925211483,0.0438664271526157,0.0455505953392384,0.0925990794300307,-0.0900604974228252,0.149854975041587,0.0817912172665706,0.197850870586516,0.0164547816042045,-0.0367878622177224,-0.10216035092225,-0.120676183301514,-0.0959669176644652,0.0253666858873388,-0.121790507263616,0.181911359840553,-0.00565913442220368,-0.103947504980066,0.0614577842978639,0.010568019270081,0.0227829170464151,0.1880227822452,-0.0943549468789236,-0.0400815603105596,0.150802981925334,0.152012034460338,0.120138331930944,0.246479427846445,0.134406747156273,-0.0346710684150419
"BCAperRGDPL",0.988972163665877,-0.223966775671926,-0.0257164740884491,0.0608950368505955,-0.436382940665833,0.112668599292614,-0.443520168994707,-0.0757626575722442,-0.075949289104564,-0.0782778180188242,0.0938820393953939,1,-0.213627614698425,-0.103939552430437,-0.024133182522886,-0.591399059415857,-0.537264544917619,-0.52617220232987,-0.557184738835483,-0.55712908452432,-0.557000826529122,0.0192999740691195,0.0352954962068218,-0.0571324234344741,-0.0518423617613099,0.031637159338649,0.0367345554816211,0.099035418890295,0.0649394517786002,-0.197979305186188,-0.263927893173784,-0.116492863070918,-0.224898384455301,-0.133687011129383,-0.110454299775113,-0.0327054881754131,-0.157032670983847,-0.0909749463787028,-0.0104113326494703,-0.139730500699176,-0.0484627185272968,-0.0217338441208059,-0.0263501081631978,-0.0223088273437799,0.0118353053545333,0.0289261411103037,0.0843798839137841,0.0679786682698305,0.132298585465336,0.0735227837596067
"KCxRGDPL",-0.22817551994261,0.0752066885608768,-0.344628288296984,-0.273879592276868,0.29411530363777,0.0103770717309726,0.280238156449871,0.876145771261379,0.87658902830644,0.884549042157819,-0.257723136838632,-0.213627614698425,1,0.600021503463285,0.629866269348519,0.367430230320307,0.346478268106575,0.339598325545926,0.363157381016753,0.363103000666116,0.362627732681348,-0.194430301090094,0.0579566222129066,0.11308995441635,0.10020047871067,-0.0973191131308991,-0.0646469980525725,-0.174092107792629,-0.0994404862864458,0.305681588521316,0.339460493303141,0.192939227508526,0.334407676138195,0.348597852055369,0.2465294520772,0.0457952143329736,0.264591350349698,0.248075801777294,0.251869885279923,0.347697289275681,0.07092561951121,0.165262535797255,0.157421643138085,0.19731034503593,0.216261222789266,0.0543054611254941,0.13587799185008,-0.000856281652518649,0.0555293227412755,0.00683742760008765
"KGxRGDPL",-0.10364782162525,-0.295222422471639,0.362795978491432,-0.219812863517762,0.122335081897489,0.371941274439802,0.109922145118111,0.691134140915594,0.691456251674792,0.690178381270891,-0.283475511658301,-0.103939552430437,0.600021503463285,0.999999999999999,0.52004936854244,0.183924856371238,0.210659995079947,0.143117140474454,0.179703233148277,0.179778868910085,0.180810009358102,-0.242159887165062,0.0756242761846656,0.0940912026623033,0.0569675124974671,0.0106846210365638,-0.0712725523075634,-0.0831624885561911,0.0494997632315234,0.196261206441036,0.23579786884855,0.144662815233034,0.218733832143259,0.205107058364754,0.160931744889743,0.0219907351125187,0.180735707307387,0.147134405829839,0.110291874959501,0.232185888322197,0.0700269055060352,0.114090407247416,0.0913683812845613,0.11252172472833,0.137137942517105,0.074541062612893,0.0919844803817224,0.054527901844268,0.0870314777600402,0.0492020113417985
"KIxRGDPL",-0.0388255645686992,-0.615322932485472,-0.394737172449269,0.433976699155061,0.0624897088064258,0.499235444148342,0.0399421551325742,0.8658869480831,0.865024958164215,0.854080095846707,-0.0118347232047034,-0.024133182522886,0.629866269348519,0.52004936854244,1,0.0908251196213186,0.0676252801752553,0.143621899824472,0.102729530099139,0.102549671349327,0.100830558564555,-0.10648357489107,0.229416496120852,0.00244114356470059,-0.112783819564619,0.0708388306946186,-0.0192816091127816,0.0850232048917333,0.00328520721870949,0.0214030328622401,-0.0058537248644274,-0.109945970533976,0.00108482840863076,0.0937788455337775,-0.0746258617021131,-0.0457860953587404,0.0100728298058938,-0.0512825635620557,0.0544812302691027,0.10221128446596,0.0530043618194754,0.0737014577600139,-0.0326635183931193,0.0514178865908622,0.0779770439804963,0.0937254307949723,0.15897420143356,0.142683675801912,0.241434777035163,0.0904953436242812
"KCxRGDPLxPOP",-0.63961245761557,0.226422822854224,-0.0689630688460163,-0.111130614451492,0.968019366606978,-0.273854746760778,0.965480379696993,0.193550287534333,0.193867695389479,0.194657157490471,-0.00780827064262475,-0.591399059415857,0.367430230320307,0.183924856371238,0.0908251196213186,1,0.986381803187174,0.974255875164834,0.998241781233083,0.998259617434919,0.998451990744542,-0.12213103664319,-0.23643790896153,0.2850013192757,0.263115272557719,8.56829914058093e-05,-0.103236533005495,-0.259538243433108,-0.30471577711229,0.670661431421262,0.72694259729095,0.47815027388185,0.646575428466603,0.595308728262375,0.478272500401125,0.247660849628792,0.586115524311911,0.416750251159209,0.306041465214195,0.52161747695334,0.258867674722732,0.365401023169778,0.187675096813429,0.134371668366002,0.264310972223834,0.150639756658222,-0.0468387256643206,0.0543015075324624,-0.200255580003141,-0.263741981918272
"KGxRGDPLxPOP",-0.576931687372694,0.224822655145899,-0.0228043116234711,-0.133360742359918,0.974562124110876,-0.276971860347769,0.975258061585263,0.178318685712807,0.178734965659277,0.180542840178933,-0.00990761517475503,-0.537264544917619,0.346478268106575,0.210659995079947,0.0676252801752553,0.986381803187174,1,0.948685408820167,0.985469852212889,0.985608447438141,0.987142176780789,-0.127252078097508,-0.241339411067888,0.291083304931175,0.280030733139671,0.0014189280231474,-0.107024819193752,-0.267510542618495,-0.310438615213729,0.689724563681891,0.748694885286951,0.518326265373855,0.658362237177711,0.596245624181818,0.500758893553408,0.260590361395409,0.602482061108548,0.427741603244771,0.305425538968696,0.515376390484738,0.26424963286079,0.370903997213036,0.187889502862493,0.129665892554207,0.261173512816753,0.150848350983288,-0.0565890870907429,0.0526467318852718,-0.211101100880717,-0.27187696667775
"KIxRGDPLxPOP",-0.586324106579654,0.16456373063913,-0.117585696561613,-0.00541259652564973,0.969296998867789,-0.280869841492783,0.959735424597775,0.191023075326536,0.191152064703586,0.189705494696879,0.0702768847233309,-0.52617220232987,0.339598325545926,0.143117140474454,0.143621899824472,0.974255875164834,0.948685408820167,1,0.983686953693231,0.983561222202338,0.982004542814075,-0.1251473279644,-0.24740758013484,0.315564610551849,0.26400303785814,0.0251957874445996,-0.0863474899609104,-0.244566844967926,-0.313395732243987,0.678917785126785,0.707531517304861,0.450549411720258,0.638026622709651,0.634402430095441,0.472607117189578,0.270868128648479,0.602547785658944,0.421793324988596,0.350131807852655,0.552634497798128,0.284662217115046,0.413480779555661,0.195862808995396,0.153857573111031,0.313728909869588,0.189698661939826,-0.0119217814916877,0.100437114535759,-0.17540704356005,-0.268257900016866
"RGDPCHxPOP",-0.60826876888642,0.210078318972626,-0.0795421604979367,-0.0923090606099484,0.977660829768958,-0.277859293886548,0.973844799187479,0.195841190878856,0.196129273224249,0.196440515320645,0.0105620557530561,-0.557184738835483,0.363157381016753,0.179703233148277,0.102729530099139,0.998241781233083,0.985469852212889,0.983686953693231,1,0.999999481438753,0.999935313164879,-0.126515698122535,-0.246104737185116,0.299405212537265,0.272398405226972,0.00690611551986161,-0.100589577092506,-0.260743543767093,-0.314976314225437,0.686120307305248,0.735985334959662,0.485834549336265,0.6570057370643,0.616185638729176,0.490351664660116,0.25887473286983,0.602290600994458,0.429685535724142,0.325545878488214,0.538369653496221,0.270564031584966,0.385558302759323,0.196402218441471,0.143002083994063,0.284302154382483,0.164176969142377,-0.0364260790141789,0.0686162004526812,-0.195648373431322,-0.270981043812311
"RGDPLxPOP",-0.608169495712277,0.210175457012775,-0.0793696830675266,-0.0925293092020142,0.977702280041525,-0.277881788711276,0.973909884197153,0.195765795823049,0.196055167701338,0.196376432188512,0.0105064320777594,-0.55712908452432,0.363103000666116,0.179778868910085,0.102549671349327,0.998259617434919,0.985608447438141,0.983561222202338,0.999999481438753,1,0.999945001309774,-0.126498010149827,-0.246071581978193,0.299347308164271,0.272399449419252,0.00686755117659736,-0.100624983218247,-0.260751957340536,-0.314944528031748,0.686107696042973,0.736023734821629,0.485927824020015,0.656998530026971,0.616081198130754,0.490349220488385,0.258836204356172,0.602247435408083,0.429641674637176,0.325434649144704,0.538257139932357,0.270515249657441,0.385461779491377,0.196349543455202,0.14292846071362,0.28418452959097,0.164101466934798,-0.0365047410710722,0.0685508722654096,-0.19567885890596,-0.270962901483863
"RGDPL2xPOP",-0.607438265740785,0.210993004951026,-0.077406126576946,-0.094691988988815,0.977897937986223,-0.277780578301222,0.974404827441023,0.195141711045463,0.195440164373659,0.195881828534426,0.0099130925211483,-0.557000826529122,0.362627732681348,0.180810009358102,0.100830558564555,0.998451990744542,0.987142176780789,0.982004542814075,0.999935313164879,0.999945001309774,1,-0.126194354934358,-0.245400554848757,0.298513773397787,0.271906828365489,0.00650746485897251,-0.100874487022419,-0.260500493209988,-0.314263272982963,0.685704526739926,0.736096238966701,0.486335054842619,0.656485484320705,0.614498245400282,0.489587534462056,0.258500034253019,0.601445418348357,0.428465353790575,0.323673558573601,0.536629133920107,0.269746377376573,0.384199556359003,0.195217808085958,0.141892221384941,0.282449097254289,0.163196238543193,-0.0374521699926157,0.0677023928287157,-0.195866231893558,-0.270501996827845
"sig_1",0.0237276020721202,0.00898419774227131,-0.133193869690834,0.0999103801271868,-0.12838266268958,0.000431249870299207,-0.130994442910945,-0.173646839550357,-0.173808923545529,-0.171944731020024,0.0438664271526157,0.0192999740691195,-0.194430301090094,-0.242159887165062,-0.10648357489107,-0.12213103664319,-0.127252078097508,-0.1251473279644,-0.126515698122535,-0.126498010149827,-0.126194354934358,1,0.0133159320430535,-0.0984172347795537,-0.0907583104206409,0.0192274866636007,0.191850979431734,0.229040637013082,-0.0609980459515518,-0.191483089864748,-0.198525788616061,-0.191739354468331,-0.198641462670047,-0.188967434867305,-0.215352504483231,-0.0820243616009064,-0.186714047028134,-0.201570974795771,-0.167640365227979,-0.183855773148003,-0.0773545156311532,-0.134809851169713,-0.174930953245228,-0.142013987172199,-0.168070089729305,-0.0572289898586017,-0.100685839235399,-0.031281741681332,-0.0489275570748388,-0.102615835906203
"sig_2",0.0450568038353411,-0.150803661331069,0.0619252933019588,0.121078549220588,-0.264041862926378,0.281299428319633,-0.270954801203261,0.187084298997858,0.187313108100115,0.195421565056698,0.0455505953392384,0.0352954962068218,0.0579566222129066,0.0756242761846656,0.229416496120852,-0.23643790896153,-0.241339411067888,-0.24740758013484,-0.246104737185116,-0.246071581978193,-0.245400554848757,0.0133159320430535,1,-0.443800792128355,-0.487718661376551,-0.143678841674618,-0.26804734271454,-0.0299373542816619,0.482912319208943,-0.417905333388467,-0.415630249616582,-0.394760641051268,-0.469093969437397,-0.442307356700719,-0.477588279049381,-0.240216100546207,-0.431865236244285,-0.544517010492104,-0.460021274049227,-0.468300331901698,-0.229543272840885,-0.388785685209546,-0.479839127459633,-0.436288483920233,-0.523772989067576,-0.228102524664297,-0.47451190433195,-0.226524139118029,-0.219733535128043,0.163964334905978
"sig_3",-0.0764288904986541,0.0281349597080072,-0.0398015056177378,-0.0628651443873726,0.331977078802318,-0.24642276729936,0.330692057732756,0.0443402958600802,0.0442812417770715,0.0387256047550979,0.0925990794300307,-0.0571324234344741,0.11308995441635,0.0940912026623033,0.00244114356470059,0.2850013192757,0.291083304931175,0.315564610551849,0.299405212537265,0.299347308164271,0.298513773397787,-0.0984172347795537,-0.443800792128355,0.999999999999999,0.502392127099527,0.356184624753872,0.412433161252285,0.0198745383108209,-0.517753935112684,0.624001984445622,0.520846854866974,0.334522534133328,0.653814417376456,0.730411020761343,0.480567428295691,0.523634144958066,0.664092232024753,0.583195232667418,0.660423998879218,0.830466590035397,0.404680075915261,0.725432440544222,0.346359818066456,0.457088215612852,0.831660669946613,0.424357342052956,0.409633656469033,0.404993570402691,0.0219906616617426,-0.442846988268152
"sig_4",-0.0556939003647273,0.143179102891821,-0.0219083170065157,-0.209474320375374,0.313244013413657,-0.288458000484945,0.336816924238278,-0.00508956938448671,-0.00477380083198202,-0.00592859712489755,-0.0900604974228252,-0.0518423617613099,0.10020047871067,0.0569675124974671,-0.112783819564619,0.263115272557719,0.280030733139671,0.26400303785814,0.272398405226972,0.272399449419252,0.271906828365489,-0.0907583104206409,-0.487718661376551,0.502392127099527,1,0.0601839147641342,0.26969502222558,-0.0895447832874064,-0.612991112810327,0.558161719261257,0.605474277772228,0.71138009348026,0.656605317975759,0.489598885565315,0.803433267047356,0.253873022458925,0.58183449437833,0.874284659583456,0.521597583365113,0.484954244417489,0.251062871171527,0.353673263771092,0.816784984050869,0.326323430339958,0.535716070840853,0.114089609453239,0.303836169111183,0.0946262819143489,-0.0926876010615383,-0.527052422652912
"sig_5",0.0234573005165137,-0.243058816066399,0.0226702378777949,0.244542394559793,0.0207686014316371,0.0588131849075456,0.0148655807654597,-0.0304325337135386,-0.0310009099932012,-0.0379817399285559,0.149854975041587,0.031637159338649,-0.0973191131308991,0.0106846210365638,0.0708388306946186,8.56829914058093e-05,0.0014189280231474,0.0251957874445996,0.00690611551986161,0.00686755117659736,0.00650746485897251,0.0192274866636007,-0.143678841674618,0.356184624753872,0.0601839147641342,1,0.244631017374958,0.299615468983475,-0.132890072685131,0.0881556573649073,0.00627195833028529,-0.0619401980720773,0.0556628735036641,0.148518276421112,-0.0175369196196806,0.281550867136718,0.223391944852462,0.0586954604545569,0.133484434345437,0.188161580581369,0.572402430388352,0.534425525968211,-0.00306823315705636,0.11245499790717,0.324528452187105,0.804849951694237,0.256889205809489,0.877693209279091,0.2203776781531,-0.125854308490526
