ID,Globalisation_score
BDI_1994,19.78
BDI_1995,20.84
BDI_1996,21.76
BDI_1997,22.47
BDI_1998,21.80
BDI_1999,23.26
BDI_2000,24.96
BDI_2001,24.93
BDI_2002,24.50
BDI_2003,26.10
BDI_2004,26.56
BDI_2005,27.35
BDI_2006,27.50
BDI_2007,32.18
BDI_2008,32.18
BDI_2009,32.70
BDI_2010,32.07
BDI_2011,32.12
BEL_1970,68.40
BEL_1971,68.41
BEL_1972,68.54
BEL_1973,69.01
BEL_1974,69.30
BEL_1975,68.99
BEL_1976,69.38
BEL_1977,69.68
BEL_1978,73.14
BEL_1979,73.56
BEL_1980,73.63
BEL_1981,74.46
BEL_1982,75.00
BEL_1983,75.58
BEL_1984,80.98
BEL_1985,81.64
BEL_1986,81.63
BEL_1987,81.53
BEL_1988,81.49
BEL_1989,81.76
BEL_1990,81.63
BEL_1991,83.81
BEL_1992,85.88
BEL_1993,87.32
BEL_1994,88.36
BEL_1995,88.88
BEL_1996,89.76
BEL_1997,90.78
BEL_1998,90.36
BEL_1999,90.79
BEL_2000,92.04
BEL_2001,91.56
BEL_2002,91.60
BEL_2003,91.56
BEL_2004,91.85
BEL_2005,91.64
BEL_2006,91.90
BEL_2007,92.50
BEL_2008,92.34
BEL_2009,92.12
BEL_2010,92.00
BEL_2011,91.61
BEN_1970,16.04
BEN_1971,16.49
BEN_1972,16.70
BEN_1973,17.11
BEN_1974,17.15
BEN_1975,18.25
BEN_1976,18.23
BEN_1977,19.01
BEN_1978,19.13
BEN_1979,19.39
BEN_1980,19.25
BEN_1981,19.94
BEN_1982,21.38
BEN_1983,22.67
BEN_1984,24.08
BEN_1985,24.10
BEN_1986,24.03
BEN_1987,23.24
BEN_1988,22.55
BEN_1989,21.74
BEN_1990,21.96
BEN_1991,24.16
BEN_1992,23.79
BEN_1993,24.51
BEN_1994,25.85
BEN_1995,30.98
BEN_1996,31.42
BEN_1997,32.54
BEN_1998,34.22
BEN_1999,35.72
BEN_2000,36.45
BEN_2001,36.68
BEN_2002,36.59
BEN_2003,37.20
BEN_2004,40.07
BEN_2005,39.97
BEN_2006,40.84
BEN_2007,43.14
BEN_2008,42.15
BEN_2009,42.77
BEN_2010,42.68
BEN_2011,41.79
BFA_1970,25.26
BFA_1971,26.99
BFA_1972,26.51
BFA_1973,26.67
BFA_1974,26.60
BFA_1975,27.26
BFA_1976,27.06
BFA_1977,27.83
BFA_1978,26.78
BFA_1979,27.11
BFA_1980,27.46
BFA_1981,27.87
BFA_1982,28.07
BFA_1983,28.02
BFA_1984,28.27
BFA_1985,28.32
BFA_1986,28.15
BFA_1987,27.94
BFA_1988,27.91
BFA_1989,27.82
BFA_1990,28.14
BFA_1991,29.01
BFA_1992,26.95
BFA_1993,29.91
BFA_1994,31.52
BFA_1995,31.58
BFA_1996,31.41
BFA_1997,33.08
BFA_1998,38.37
BFA_1999,37.85
BFA_2000,37.70
BFA_2001,37.59
BFA_2002,38.16
BFA_2003,39.16
BFA_2004,39.38
BFA_2005,40.28
BFA_2006,41.15
BFA_2007,42.16
BFA_2008,41.83
BFA_2009,43.83
BFA_2010,43.46
BFA_2011,42.68
BGR_1970,36.35
BGR_1971,36.70
BGR_1972,36.66
BGR_1973,37.66
BGR_1974,37.91
BGR_1975,38.65
BGR_1976,38.93
BGR_1977,39.28
BGR_1978,40.39
BGR_1979,40.96
BGR_1980,41.45
BGR_1981,41.63
BGR_1982,41.53
BGR_1983,41.74
BGR_1984,41.54
BGR_1985,42.04
BGR_1986,41.97
BGR_1987,41.30
BGR_1988,40.10
BGR_1989,39.31
BGR_1990,39.01
BGR_1991,38.67
BGR_1992,45.47
BGR_1993,46.49
BGR_1994,47.66
BGR_1995,54.59
BGR_1996,58.56
BGR_1997,58.66
BGR_1998,59.18
BGR_1999,61.89
BGR_2000,64.61
BGR_2001,65.10
BGR_2002,64.54
BGR_2003,66.67
BGR_2004,69.14
BGR_2005,67.26
BGR_2006,71.14
BGR_2007,74.44
BGR_2008,73.68
BGR_2009,71.90
BGR_2010,71.62
BGR_2011,71.38
BMU_1970,34.69
BMU_1971,34.69
BMU_1972,34.69
BMU_1973,34.69
BMU_1974,34.69
BMU_1975,34.69
BMU_1976,34.69
BMU_1977,34.69
BMU_1978,34.69
BMU_1979,34.69
BMU_1980,34.69
BMU_1981,34.69
BMU_1982,34.69
BMU_1983,34.69
BMU_1984,34.69
BMU_1985,34.69
BMU_1986,34.69
BMU_1987,34.69
