"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8"
"SAU_1998",-0.0216479764607741,-0.160238191575595,0.00336122534266028,-0.818431079191125,1.03439100873004,-0.44999050597794,1.28092131384307,0.10804985068144
"SAU_1999",0.0986748599353554,-0.374992874260978,0.218187366808344,0.0742239856438221,-0.182361457186378,0.200842070563479,0.604444524104778,-0.299601173511293
"SAU_2000",0.0238073172888749,-0.419053581007218,0.405633705930361,0.27639177700821,-0.669062443552946,0.138986277149356,0.480861959537741,-0.368205455259974
"SAU_2001",-0.522674813729315,-0.494804043301235,0.7417734331649,-0.219402342657996,-0.669062443552946,0.154958208527487,-0.0582309006733694,-0.404792203494746
"SAU_2002",-0.288522754329862,-0.30037418895081,-0.597730743032888,-0.407819621529865,-0.669062443552946,-0.145106182748053,0.401989520240818,-0.044253636628704
"SAU_2003",-0.61969703736302,-0.541804226380527,0.11877762291442,0.00138152715780406,-0.422744261428403,0.061820111644953,-0.135214179747613,-0.488084033285915
"SAU_2004",-0.643124975878245,-0.492116072964593,-0.419130186206516,-0.225466671244441,-0.597837908962717,-0.0154878165639891,-0.0177189092314366,-0.360410264844621
"SAU_2005",-0.939284676891364,-0.590722142682453,1.01809882297174,-0.39646663429245,-0.048815454829698,-0.0435095778279881,-0.398122310737359,-0.53673791244615
"SAU_2006",-0.94488701001457,-0.580661902826016,0.471345231555158,-0.424249721072209,-0.0755246553010341,-0.0649630004483182,-0.332998759727724,-0.504852500803688
"SAU_2007",-1.00753128039224,-0.520284744562617,0.173537227601751,-0.701022857139606,0.0580213470556461,-0.285404006007435,-0.281361713641115,-0.319375413604477
"SAU_2008",-1.10850060236275,-0.564455485182287,0.0442203149939766,-0.658078948893734,-0.4375827061347,0.0257651304570417,-0.815049476548445,-0.397558531033041
"SAU_2009",-1.05807960425389,-0.531398165779025,0.377832675858332,-0.814693760411107,-0.128943056243706,-0.158384622739931,-0.445718653014345,-0.333996900711241
"SAU_2010",-0.324555942372301,-0.488469236016635,1.66257724736879,-0.279975113073766,0.209373483059884,0.530771138262033,-0.141248997125621,-0.452301026435777
