ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
IDN,6,229,1,14,623,29,4851,0,4,932,534,0,287,4,16,906,89,95,6535,7407,176,0,76106,0,9645,1239,0,522,130,403,0,20834,9241,0,5,101,36,72,0,8895,8688,94,0,697,0,853,597,0,32,3,0,44,22,0,3036,0,2350,502,0,1259,84,0,3,0,2,1262,412,0,14,0,208,6,9,
KOR,5,250,0,10,369,0,6501,0,0,951,400,0,300,0,10,335,0,0,3021,7465,0,0,108296,0,4657,1161,0,423,0,128,0,31572,7174,0,0,89,0,0,0,8698,8668,0,0,424,0,457,247,0,0,0,0,0,2,0,5081,0,2382,276,0,850,0,0,0,0,0,1265,324,0,0,0,192,0,5,
NOR,19,361,51,120,324,777,6345,61,32,297,3529,222,1064,240,446,288,983,413,318,5566,10101,672,86375,40,459,5572,5192,84,574,1570,107,9390,56068,156,20,64,71,436,85,523,30027,6165,361,1641,7,99,776,1345,1217,6,7,55,65,122,8783,143,125,12653,522,1360,2260,63,26,37,38,832,6745,798,204,0,2431,664,1122,
ESP,20,341,62,128,322,651,5742,117,17,394,3918,189,938,387,447,342,1231,377,444,5046,5633,1093,74316,137,903,5822,3638,117,680,1770,128,10576,62789,220,11,65,73,160,81,992,25922,11343,424,2903,3,125,668,669,1409,2,2,60,90,53,7295,577,250,12773,272,1373,2676,70,4,17,18,1231,7240,957,114,0,2018,1185,1000,
LBR,4,198,0,6,445,0,4826,0,0,880,232,0,181,0,4,405,0,0,4126,6823,0,0,79802,0,7535,663,0,250,0,66,0,23967,4036,0,0,91,0,0,0,8975,5186,0,0,135,0,840,265,0,0,0,0,0,6,0,2628,0,2396,110,0,727,0,0,0,0,0,889,122,0,0,0,80,0,1,
YUG,18,320,43,110,623,636,5615,45,25,548,3028,137,863,279,355,420,1844,109,5385,6178,8884,464,77510,31,4325,2494,2599,252,1032,2274,341,12552,50758,71,11,76,301,287,68,3227,21764,5794,210,2755,21,248,1780,702,1997,4,5,101,33,48,6877,199,419,9996,155,2122,2382,119,19,32,37,1634,4884,706,168,25,1824,814,709,
PHL,4,248,0,6,214,0,6712,0,0,969,180,0,282,0,4,122,0,0,684,7416,0,0,113744,0,4535,1161,0,58,0,26,0,32959,1510,0,0,71,0,0,0,9250,8036,0,0,31,0,280,135,0,0,0,0,0,2,0,5295,0,2412,96,0,342,0,0,0,0,0,1267,84,0,0,0,160,0,1,
DDR,9,236,5,31,1137,71,3632,0,27,922,891,6,436,23,55,1593,380,142,16466,6368,228,0,46888,0,14300,1174,38,957,123,1079,28,13676,13654,0,17,111,461,158,0,7828,9856,541,0,1068,0,1260,2016,32,108,11,0,229,21,6,2569,0,1959,1547,2,2378,225,4,50,29,2,1739,840,22,123,0,560,43,55,
CHN,10,292,9,36,713,217,5629,3,16,931,1291,12,544,39,66,679,367,346,10831,6481,3067,90,74943,0,8293,2842,304,647,517,611,28,21938,21412,2,9,71,420,310,4,7459,14064,1041,7,1889,0,495,1210,95,358,6,3,204,14,8,5898,10,1814,1936,4,1929,632,4,7,17,10,1913,1526,46,63,0,652,68,69,
NZL,7,321,0,21,396,0,7639,0,0,944,792,0,567,0,35,495,0,0,1847,7954,0,0,122469,0,3469,3278,0,273,0,187,0,30124,12161,0,0,101,0,0,0,6961,18291,0,0,419,0,521,387,0,0,0,0,0,14,0,7691,0,1822,1101,0,1387,0,0,0,0,0,1929,879,0,0,0,652,0,35,
