"","V1","V2","V3","V4","V5","V6","V7"
"ec:2.7.1.1",0.055315251446084,-3.07280805472961,-1.54372413064421,-1.08040011436283,0.523782305755851,-1.61413532955078,0.110139324112609
"ec:2.7.1.137",-0.102493679953162,-0.322197457936773,0.314665483650952,-0.0332048923539977,-0.23154616269217,0.680676176664816,0.417807904741795
"ec:2.7.1.153",-0.212506246370273,0.0478207303326306,0.81764859012266,-3.12923512070873,5.96028200534792,0.964524402462012,-2.07390566709141
"ec:2.7.1.2",-0.0264959264783566,-1.65124994983579,-0.746692429073272,-0.559341915725392,0.117289028674996,-0.561118334488333,0.275041201323527
"ec:2.7.1.40",0.0436664649258973,-2.90326472991133,-1.65982259243759,-1.10162593187913,0.564434756929233,-1.66442317027868,0.0931422313919737
"ec:2.7.1.91",-0.0966802555035269,-0.414703070931573,0.578991694804242,-0.0281260676200419,-0.17388807697848,0.869453692755516,0.395672730949146
"ec:2.7.7.6",-0.153688085155908,-0.165460606925287,1.60098528478055,-0.125885727427641,-0.257813328370699,-0.086300404527214,0.358605674395281
"ec:2.7.7.7",-0.0792399821546215,-0.692219909915971,1.37197032826411,-0.0128895934181748,-0.000913819837409596,1.43578624102762,0.329267209571199
"ec:2.8.2.1",-0.154902250483544,0.44848145433114,-0.414054574675871,-0.123186987153164,-0.126594443712333,0.290747297662513,0.371954707651901
"ec:2.8.2.14",-0.119955890922984,-0.0601485201236953,-0.065759189295721,-0.059509534604256,-0.248551797232478,0.441610819846215,0.422945985813808
"ec:3.1.1.34",-0.14553115590344,0.0336878065533686,0.164846750755883,-0.0947817840926865,-0.417654002672504,-0.269144662203301,0.454612310946485
"ec:3.1.3.2",-0.0842940576226801,-0.0753537472927649,-0.587098829213385,0.352963174704252,-1.05225711017425,0.215262721965568,-2.97478983210251
"ec:3.1.3.67",-0.184035185594469,0.864605815791175,-0.498023748902731,-0.181785614968116,0.0530209955215019,0.328661291569512,0.298828255697346
"ec:3.1.4.11",-0.429594528036564,2.07722090611543,4.44718781959542,-0.632333400593945,0.168220223214599,-2.75161888001951,-0.0281042103639012
"ec:3.1.4.17",-0.0433861017992511,-0.324318265602567,-0.16381229701399,5.74019758611683,3.13506693155281,-1.19772255495304,-0.140710683638523
"ec:3.1.4.35",-0.103979037562561,-0.236000272986013,0.0360625011968856,0.346948369792365,-0.0609195030752819,0.379257246205638,0.401232827722913
"ec:3.1.4.4",-0.131604677443171,0.109394804694583,-0.181857651089104,-0.0807353521205585,-0.207899346059096,0.391322979118314,0.405948893093173
"ec:3.2.1.166",-0.119955890922984,-0.0601485201236953,-0.065759189295721,-0.059509534604256,-0.248551797232478,0.441610819846215,0.422945985813808
"ec:3.3.2.9",-0.119955890922984,-0.0601485201236953,-0.065759189295721,-0.059509534604256,-0.248551797232478,0.441610819846215,0.422945985813808
"ec:3.5.1.2",-0.131604677443171,0.109394804694583,-0.181857651089104,-0.0807353521205585,-0.207899346059096,0.391322979118314,0.405948893093173
"ec:3.5.3.1",-0.0966802555035269,-0.414703070931573,0.578991694804242,-0.0281260676200419,-0.17388807697848,0.869453692755516,0.395672730949146
"ec:3.5.4.4",-0.0842940576226801,-0.0753537472927649,-0.587098829213385,0.352963174704252,-1.05225711017425,0.215262721965568,-2.97478983210251
"ec:3.6.1.5",-0.0908668310538918,-0.507208683926372,0.843317905957531,-0.0230472428860862,-0.11622999126479,1.05823120884622,0.373537557156497
"ec:3.6.3.14",-0.149458816527528,-0.0252596967651351,1.87103329478759,0.224099571561698,-0.976341687264661,-0.557647117641075,-3.10786352520757
"ec:4.1.1.15",-0.0264959264783566,-1.65124994983579,-0.746692429073272,-0.559341915725392,0.117289028674996,-0.561118334488333,0.275041201323527
"ec:4.1.1.28",-0.095322903882088,-0.248617129074092,0.00750895859533196,1.117412543553,0.395649987585873,0.153974417468684,0.32381232609985
"ec:4.2.1.2",-0.131604677443171,0.109394804694583,-0.181857651089104,-0.0807353521205585,-0.207899346059096,0.391322979118314,0.405948893093173
"ec:4.6.1.1",7.39435948693684,0.526801543441302,0.129720695444261,-0.137221709397773,0.0435243344135912,-0.156251201116245,0.0388034731832755
