"","Cell.cycle.progression.meiosis","Nuclear.cytoplasmic.transport","Chrom..seg..kinetoch..spindle.microtub.","RNA.processing","Signaling.stress.response","ER.Golgi.traffic","Chromatin.transcription","DNA.replication...repair.HR.cohesion","Protein.degredation.proteosome","Golgi.endosome.vacuole.sorting","Protein.folding...glycosylation.cell.wall","Metabolism.mitochondria","Ribosome.translation","Cell.polarity.morphogenesis"
"YBL020W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,6.76535678748118,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL021C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,2.53287501449013,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL023C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,3.34078159907033,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL026W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,3.02227646419388,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL035C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,3.34078159907033,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL037W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,3.34078159907033
"YBL039C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,2.48067790516172,-0.256164579198895,-0.299085192396628
"YBL046W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,4.38947472476532,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL047C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,3.34078159907033
"YBL056W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,4.38947472476532,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL057C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,3.90053265926851,-0.299085192396628
"YBL058W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,4.82916366389533,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL060W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,2.80655199514387,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL078C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,6.76535678748118,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL091C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,3.90053265926851,-0.299085192396628
"YBL093C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,2.53287501449013,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL102W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,2.80655199514387,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBL105C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,4.77953543219306,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR006W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,2.48067790516172,-0.256164579198895,-0.299085192396628
"YBR029C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,2.48067790516172,-0.256164579198895,-0.299085192396628
"YBR034C",-0.0909845943838129,5.04337231437285,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR038W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,4.77953543219306,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR040W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,3.34078159907033
"YBR041W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,2.48067790516172,-0.256164579198895,-0.299085192396628
"YBR055C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,3.02227646419388,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR057C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,3.34078159907033,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR059C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,3.34078159907033
"YBR072W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,4.38947472476532,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR080C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,2.80655199514387,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR087W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,3.34078159907033,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR088C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,3.34078159907033,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR102C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,2.80655199514387,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR103W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,2.53287501449013,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR107C",-0.0909845943838129,-0.198117102016355,3.20313611199184,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR108W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,3.34078159907033
"YBR109C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,3.34078159907033
"YBR123C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,2.53287501449013,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
"YBR126C",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,-0.35601631790251,-0.209053436571051,2.48067790516172,-0.256164579198895,-0.299085192396628
"YBR131W",-0.0909845943838129,-0.198117102016355,-0.311937511357185,-0.330604535736796,-0.227630495666309,-0.147690408458867,-0.394483857907295,-0.299085192396628,-0.206905041298,2.80655199514387,-0.209053436571051,-0.402784378106487,-0.256164579198895,-0.299085192396628
