ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
CSK,11,136,18,37,1187,237,1219,8,23,736,717,38,180,62,57,968,2005,105,16095,1978,1714,69,10070,0,8193,210,462,2017,1118,2780,71,5790,7599,16,5,53,615,97,19,5097,1788,834,16,2449,3,1914,1797,135,712,0,0,244,32,33,496,16,2264,1068,35,1943,338,14,37,21,34,766,518,95,79,23,150,61,51,
NOR,14,310,14,77,446,289,4674,2,3,526,1865,65,935,32,265,537,514,15,775,6567,4071,17,50286,0,1615,2440,1527,328,476,1120,7,12438,22427,1,1,141,26,12,3,1820,19176,677,18,1342,0,289,1106,722,101,0,0,12,17,1,7538,2,422,5798,201,1852,341,0,1,1,0,1577,3730,74,30,0,2122,90,615,
ARE,8,225,4,24,559,127,3775,0,0,900,688,6,380,12,38,833,319,0,3897,5078,2407,0,45359,0,5042,812,211,712,476,691,0,17040,9437,0,0,97,0,0,0,6740,7959,160,0,1107,0,818,625,85,149,0,0,0,35,0,3311,0,2155,914,4,1583,232,0,0,0,0,1567,694,18,0,0,423,12,36,
YUG,12,248,16,50,504,483,3874,0,22,889,1239,44,481,72,104,869,733,520,3158,3396,7798,0,43448,0,3967,960,758,561,1566,1502,370,16309,16611,0,22,49,102,627,0,6111,9316,781,0,2578,12,521,577,432,1549,11,0,160,20,58,4120,0,1893,2186,40,1707,861,48,8,24,43,1876,1572,132,71,4,593,136,123,
FIN,14,317,3,88,369,38,4641,0,3,429,2123,2,977,32,330,478,105,35,457,5948,144,0,49386,0,1066,3850,22,268,44,1257,11,10378,24118,0,0,130,8,27,0,1116,20760,618,0,1502,0,199,857,2,178,0,0,11,49,2,7642,0,377,7310,0,1596,228,1,0,1,1,1212,4594,20,31,0,2279,155,825,
IND,16,312,32,88,392,601,4205,22,58,568,2153,116,905,150,272,547,775,1451,1116,3690,4883,384,43849,8,1959,3213,2087,180,952,951,467,10153,26143,34,35,46,160,1119,56,2424,18706,2618,131,1564,14,185,739,849,922,31,5,280,28,260,6081,55,505,6074,213,1950,1633,63,63,107,21,1824,3907,357,246,0,1894,407,538,
ISR,9,325,0,36,334,0,5633,0,0,747,808,0,896,0,84,304,0,0,335,7591,0,0,64854,0,1979,2036,0,195,0,257,0,19096,7449,0,0,134,0,0,0,3280,18535,0,0,259,0,254,643,0,0,0,0,0,6,0,9540,0,748,1737,0,1117,0,0,0,0,0,2300,1091,0,0,0,1727,0,126,
POL,12,256,13,53,486,490,3965,0,15,879,1250,25,523,80,115,530,523,528,2959,3588,8193,0,44708,0,4298,1278,381,281,1626,1617,363,15823,15819,0,5,55,75,437,0,5866,10460,472,0,2223,5,615,588,429,1914,5,0,69,24,25,4348,0,1742,2467,12,1753,996,23,10,11,49,1989,1604,123,54,20,694,174,138,
HUN,8,130,2,26,966,81,1368,0,9,696,515,1,148,10,45,1468,112,113,12558,1927,1082,0,12593,0,7026,215,10,1850,417,2193,1,6873,5533,0,0,42,21,249,0,5472,1650,0,0,1632,0,1543,1351,34,350,8,0,119,52,1,523,0,2206,890,0,1490,55,0,8,4,26,599,421,5,19,0,112,20,45,
GRC,9,313,3,33,295,102,5535,0,3,827,796,3,800,15,66,283,122,0,328,7073,1832,0,63611,0,1962,1713,82,171,218,306,0,20810,8280,0,0,110,10,58,0,4036,16034,218,0,622,0,225,487,61,122,0,0,44,6,0,9038,0,1011,1264,1,882,388,0,0,3,0,2425,1008,15,15,0,1370,30,80,
ZAF,8,308,0,28,316,0,5520,0,0,860,650,0,753,0,56,277,0,0,365,7129,0,0,64853,0,2347,1784,0,172,0,194,0,21052,6092,0,0,123,0,0,0,4712,15790,0,0,212,0,284,500,0,0,0,0,0,5,0,8379,0,1141,1191,0,1008,0,0,0,0,0,2400,759,0,0,0,1253,0,70,
PHL,5,213,0,10,305,0,4083,0,0,945,270,0,291,0,10,464,0,0,1425,5104,0,0,51263,0,4247,579,0,327,0,108,0,20310,3146,0,0,77,0,0,0,7914,6240,0,0,286,0,390,247,0,0,0,0,0,0,0,3473,0,2392,204,0,618,0,0,0,0,0,1438,201,0,0,0,224,0,5,
TUR,13,321,12,66,407,211,4856,5,20,590,1659,22,971,73,186,474,388,95,660,6512,2450,59,52538,1,1616,2575,523,217,303,789,8,13471,19199,2,11,125,105,211,11,1991,20176,1508,18,1184,0,206,817,165,350,4,5,113,26,8,8114,24,506,3728,16,1676,954,4,7,28,4,1895,2967,124,126,0,2105,192,334,
PRT,11,333,0,55,397,0,5373,0,0,549,1268,0,1031,0,165,448,0,0,458,7722,0,0,60290,0,1441,2570,0,299,0,529,0,14372,12923,0,0,147,0,0,0,1736,21783,0,0,565,0,285,963,0,0,0,0,0,23,0,9512,0,439,3438,0,1469,0,0,0,0,0,1728,2268,0,0,0,2337,0,330,
COL,3,163,0,3,135,0,3548,0,0,845,68,0,129,0,1,95,0,0,185,3904,0,0,47586,0,2913,329,0,52,0,17,0,19855,423,0,0,52,0,0,0,8361,2811,0,0,11,0,167,68,0,0,0,0,0,0,0,1931,0,2542,25,0,117,0,0,0,0,0,781,9,0,0,0,40,0,0,
NGA,6,244,0,15,374,0,4349,0,0,981,368,0,426,0,20,255,0,0,1284,6290,0,0,52379,0,5232,994,0,174,0,116,0,19184,3647,0,0,100,0,0,0,7742,9298,0,0,115,0,480,429,0,0,0,0,0,8,0,4400,0,2074,424,0,880,0,0,0,0,0,1955,312,0,0,0,464,0,15,
LBY,7,241,1,20,480,18,3872,0,3,970,504,0,459,5,30,352,62,0,3938,5817,120,0,38775,0,6566,917,0,349,33,240,0,18144,5601,0,0,97,58,10,0,7089,7825,121,0,605,0,421,618,0,9,0,0,44,6,0,4838,0,2018,458,0,1170,81,0,3,0,0,1981,636,0,15,0,516,10,25,
NZL,5,215,0,10,320,0,4101,0,0,956,264,0,298,0,10,368,0,0,1441,5194,0,0,51374,0,4436,620,0,249,0,92,0,20428,3040,0,0,76,0,0,0,7897,6358,0,0,158,0,468,266,0,0,0,0,0,0,0,3503,0,2376,207,0,656,0,0,0,0,0,1505,189,0,0,0,235,0,5,
DZA,6,243,0,15,391,0,4315,0,0,975,359,0,428,0,20,225,0,0,1402,6498,0,0,51770,0,5566,927,0,161,0,125,0,19266,3591,0,0,108,0,0,0,7483,8988,0,0,111,0,514,457,0,0,0,0,0,10,0,4498,0,2080,395,0,896,0,0,0,0,0,1934,323,0,0,0,463,0,15,
PAN,3,131,0,3,324,0,2555,0,0,702,100,0,81,0,1,373,0,0,2301,3959,0,0,34635,0,4715,183,0,235,0,48,0,14021,1478,0,0,58,0,0,0,6446,2166,0,0,42,0,771,108,0,0,0,0,0,0,0,733,0,2282,26,0,384,0,0,0,0,0,489,24,0,0,0,19,0,0,
IRQ,10,299,6,39,387,113,4944,2,15,837,1138,5,705,32,81,714,266,304,948,5607,917,28,55775,0,2343,2496,129,342,225,466,16,18800,14460,1,25,92,89,155,11,4323,15288,836,2,1227,0,361,414,36,129,4,1,97,25,7,6834,10,1387,1631,1,1548,457,0,19,7,2,2199,1722,26,83,0,1084,70,100,
DOM,1,64,0,0,66,0,1650,0,0,366,0,0,0,0,0,36,0,0,101,2185,0,0,25923,0,1703,0,0,17,0,0,0,10192,0,0,0,19,0,0,0,4147,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ARG,8,284,1,27,414,16,4867,0,6,921,730,0,615,6,50,408,28,50,1516,6396,44,0,56952,0,3739,1918,0,217,21,269,0,19498,8254,0,5,106,60,61,0,5805,13580,151,0,409,0,423,454,0,27,0,0,35,16,0,6065,0,1589,1049,0,1496,69,0,15,0,0,2228,942,0,36,0,869,15,55,
MAR,3,125,0,3,329,0,2030,0,0,748,70,0,90,0,1,171,0,0,2321,3560,0,0,21729,0,6117,76,0,140,0,29,0,11452,713,0,0,67,0,0,0,6962,1597,0,0,41,0,617,140,0,0,0,0,0,4,0,875,0,2405,14,0,341,0,0,0,0,0,557,21,0,0,0,23,0,0,
EGY,6,281,0,15,194,0,5581,0,0,976,311,0,547,0,20,125,0,0,86,6328,0,0,67865,0,1934,1399,0,63,0,69,0,25886,1916,0,0,84,0,0,0,6278,10879,0,0,37,0,186,237,0,0,0,0,0,5,0,7555,0,1804,387,0,417,0,0,0,0,0,2213,235,0,0,0,651,0,15,
KWT,6,203,0,15,561,0,3195,0,0,923,419,0,298,0,20,694,0,0,4084,5156,0,0,38133,0,7533,916,0,498,0,256,0,13892,5047,0,0,88,0,0,0,7455,6758,0,0,382,0,872,599,0,0,0,0,0,10,0,2085,0,2331,474,0,1331,0,0,0,0,0,1451,364,0,0,0,276,0,15,
CHL,6,252,0,15,305,0,4833,0,0,970,406,0,427,0,20,357,0,0,1088,5845,0,0,59199,0,3030,1206,0,211,0,152,0,22916,4549,0,0,88,0,0,0,7143,9200,0,0,281,0,391,240,0,0,0,0,0,5,0,5208,0,2135,436,0,883,0,0,0,0,0,1843,376,0,0,0,444,0,15,
IRN,8,242,1,27,691,14,3310,0,6,922,588,0,540,6,50,536,41,0,6061,5992,78,0,30885,0,9601,880,0,420,13,319,0,12992,5561,0,0,115,82,40,0,6762,8825,114,0,474,0,659,1300,0,16,4,0,44,5,0,4329,0,1695,806,0,1659,68,0,11,0,2,2121,800,0,34,0,768,15,55,
ECU,1,64,0,0,66,0,1650,0,0,366,0,0,0,0,0,36,0,0,101,2185,0,0,25923,0,1703,0,0,17,0,0,0,10192,0,0,0,19,0,0,0,4147,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OMN,4,114,0,6,516,0,1528,0,0,680,168,0,87,0,4,702,0,0,5819,2994,0,0,14323,0,6831,88,0,718,0,287,0,8259,2103,0,0,48,0,0,0,5777,1317,0,0,463,0,913,326,0,0,0,0,0,0,0,582,0,2251,81,0,609,0,0,0,0,0,484,87,0,0,0,29,0,1,
PAK,5,240,0,10,211,0,4761,0,0,996,202,0,379,0,10,136,0,0,327,5710,0,0,58534,0,3462,824,0,61,0,45,0,23560,1281,0,0,82,0,0,0,7842,7303,0,0,27,0,223,231,0,0,0,0,0,0,0,5230,0,2239,177,0,337,0,0,0,0,0,1810,126,0,0,0,337,0,5,
BGR,3,71,1,2,240,45,1029,0,9,422,49,0,15,1,0,2315,40,44,1421,989,686,0,11416,0,2395,1,0,965,260,132,0,6135,717,0,0,65,6,305,0,4569,288,0,0,276,0,224,46,0,44,15,0,100,2,0,16,0,1482,0,0,100,1,0,21,0,2,33,0,0,7,0,0,0,0,
CRI,1,64,0,0,66,0,1650,0,0,366,0,0,0,0,0,36,0,0,101,2185,0,0,25923,0,1703,0,0,17,0,0,0,10192,0,0,0,19,0,0,0,4147,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TUN,3,144,0,3,216,0,2569,0,0,836,42,0,123,0,1,41,0,0,946,3942,0,0,27325,0,5400,114,0,13,0,7,0,14986,158,0,0,49,0,0,0,8022,1564,0,0,3,0,275,132,0,0,0,0,0,5,0,1708,0,2532,12,0,151,0,0,0,0,0,759,9,0,0,0,38,0,0,
ROM,7,226,5,16,359,239,3981,0,26,959,423,5,321,15,15,964,166,471,1581,4104,4412,0,49036,0,4480,933,89,308,902,429,61,19357,4869,0,0,48,2,1058,0,7691,6693,47,0,747,0,509,262,138,385,17,0,157,24,5,3410,0,2376,316,1,826,318,3,41,24,21,1520,275,11,56,2,246,12,6,
PER,1,64,0,0,66,0,1650,0,0,366,0,0,0,0,0,36,0,0,101,2185,0,0,25923,0,1703,0,0,17,0,0,0,10192,0,0,0,19,0,0,0,4147,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
