"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Transcription","Translation","Folding.sorting.and.degradation","Replication.and.repair"
"sig_11",-0.0878490929501129,-0.1059725688639,0.6709183751049,0.955120250943702,0.643761990973015,0.454040021216574,0.644251951791648,-0.00683138895904477,0.797964078295863,0.918284627858993,1,0.690630980907328,0.676147462770717,0.953536980419689,0.735029018631907,0.99969584890106,0.799134612404975,0.05056424242003,0.513062243524629,0.990165309057136,0.546498815055611,0.98020868592016,0.0958012089914427,0.585886707697503,0.295971701109387,0.747359994851833,0.531780738004624,0.305483573266612,-0.0252778370085233,0.0486375441107829,-0.248309160238876,-0.0133378938699721,-0.0877905455178231
"sig_12",-0.140186443536119,-0.133659114968748,0.987152826392496,0.81542373238858,0.942800220793823,0.638514320151862,0.964071111767848,0.208819784701522,0.95150171898964,0.897223176210168,0.690630980907328,1,0.956434115426899,0.710463249592476,0.958082218311761,0.70680489660304,0.797531514625159,0.0709526644773192,0.951058654219139,0.590895673055897,0.933789828077203,0.808480524465582,0.188835528000369,0.943010610214819,0.838985711037128,0.991436227858892,0.776387978861004,0.645438052047631,0.245999075233973,0.683686535581568,-0.269349568255528,-0.214116075857119,-0.133950424775159
"sig_13",-0.109288615470821,-0.12874307887513,0.990137692553713,0.823527022462195,0.991409582792342,0.631719098164914,0.876158439259936,0.00477048102608013,0.983594138900542,0.912596989627045,0.676147462770717,0.956434115426899,1,0.710602569164781,0.996541835418959,0.694111874707643,0.825971668513427,0.10279941685345,0.83645615596664,0.566422439929048,0.986526017772735,0.808621031874507,0.137908068464243,0.993216056170599,0.903877277536461,0.978566783680368,0.829345490202502,0.418657136706071,-0.0369965061603465,0.758618256337997,-0.316907512747897,-0.163898336998641,-0.1120437256365
"sig_14",-0.121143344225318,-0.134738183765682,0.70118481696599,0.981771579003824,0.717507141156669,0.688912732827335,0.717740572597523,0.0258182617536899,0.814773398949143,0.91101585430663,0.953536980419689,0.710463249592476,0.710602569164781,1,0.761497465423282,0.955451871221128,0.928847091385698,0.34262532130201,0.534417943985103,0.931651201898478,0.595980346733867,0.952364568419674,0.373049298886005,0.631118228684668,0.367619799003142,0.765618055417588,0.724432201470319,0.385200169122507,-0.00340212044756687,0.182035773446726,-0.218103761957317,-0.0971983759886587,-0.116091456249412
"sig_15",-0.11048439589715,-0.130432030587094,0.986875956253607,0.865598808040459,0.984983760608372,0.632568829188956,0.878975016920644,0.00361976201855262,0.995182236563136,0.943414318955058,0.735029018631907,0.958082218311761,0.996541835418959,0.761497465423282,1,0.751527111329906,0.850256513610725,0.100307490746842,0.827641984191776,0.632941471141636,0.96952013902851,0.85471051007327,0.137719314763036,0.980119055384452,0.865205209575279,0.984848501549446,0.823209211496557,0.419736708584884,-0.0368981983478148,0.703631023660327,-0.319649832075414,-0.152337575653165,-0.113013281932833
"sig_16",-0.0894923393288287,-0.107851320574886,0.688672603641307,0.960778766291347,0.662181678425799,0.464771370199234,0.658802579379314,-0.00651501456553058,0.812585231967918,0.927769494737415,0.99969584890106,0.70680489660304,0.694111874707643,0.955451871221128,0.751527111329906,1,0.808452793109983,0.0528454755922259,0.529293001849978,0.986413890950525,0.566985954998952,0.984792798182193,0.0982200420051745,0.60569434621389,0.319438654026977,0.762973570478906,0.54734413454082,0.312490494297018,-0.0259364309560846,0.072915308428605,-0.253221605171983,-0.0185181608824676,-0.089527357080026
"sig_17",-0.146473337088494,-0.157462981502581,0.812612941767968,0.935776086564638,0.864853934229076,0.879539633249835,0.826449344467533,0.0492931927905526,0.871344969145443,0.887328613314998,0.799134612404975,0.797531514625159,0.825971668513427,0.928847091385698,0.850256513610725,0.808452793109983,1,0.533356980290155,0.644916144341696,0.737036278212583,0.76140309095115,0.860069022358578,0.550712271305421,0.782385680606607,0.606843897829008,0.839167399400927,0.928233035319341,0.464596660441228,0.00624024187366123,0.496752742999939,-0.218157760594562,-0.197050849932004,-0.139377422671801
"sig_18",-0.119003354574339,-0.105068401232375,0.0890721391540896,0.241711586389348,0.227857108367132,0.81249527142772,0.260940937452503,0.108650652288243,0.0964746735701088,0.0833020519112202,0.05056424242003,0.0709526644773192,0.10279941685345,0.34262532130201,0.100307490746842,0.0528454755922259,0.533356980290155,1,0.0386994156620626,0.0370387124007943,0.105620805233025,0.0679989630110681,0.957029943417118,0.105091849012248,0.103917201214093,0.0822441926139582,0.640479484543442,0.277871758103752,0.0761022186823168,0.258675382919811,0.0956286434929332,-0.247274858715897,-0.100914035755265
"sig_19",-0.155717036168858,-0.12295618945923,0.904186486458449,0.641826060848052,0.825630951513819,0.586908857738726,0.959599626504013,0.394868428816739,0.80987752647996,0.73421004565706,0.513062243524629,0.951058654219139,0.83645615596664,0.534417943985103,0.827641984191776,0.529293001849978,0.644916144341696,0.0386994156620626,1,0.415057187459168,0.836844990087917,0.634448862175906,0.222966190084588,0.83906860250164,0.786540190280146,0.902573818122702,0.668982081969301,0.81043253414303,0.504119636886983,0.671289631182463,-0.192376967524808,-0.27058190004491,-0.141636363284222
"sig_20",-0.077511725085874,-0.0940897150314311,0.562446131522983,0.911979297517754,0.531828655185614,0.387914373284752,0.554261394962276,-0.00854714948141856,0.705796515506894,0.853863330609766,0.990165309057136,0.590895673055897,0.566422439929048,0.931651201898478,0.632941471141636,0.986413890950525,0.737036278212583,0.0370387124007943,0.415057187459168,1,0.423961583662554,0.942872593088587,0.0809721581000321,0.466748831762726,0.159426669853384,0.65014759787681,0.437345111481179,0.262203223651556,-0.0212495445496469,-0.0896478632206199,-0.217571317288168,0.016202965738209,-0.0769230769230769
