"","BCA","KC","KG","KI","LE","OPENK","POP","RGDPCH","RGDPL","RGDPL2","XRAT","BCAperRGDPL","KCxRGDPL","KGxRGDPL","KIxRGDPL","KCxRGDPLxPOP","KGxRGDPLxPOP","KIxRGDPLxPOP","RGDPCHxPOP","RGDPLxPOP","RGDPL2xPOP","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"XRAT",0.0648215709452196,-0.186157487427735,-0.140198072610966,0.421014274193655,0.0835045620498121,-0.0941660616531881,0.0838186158539495,-0.187613050222728,-0.187771021643177,-0.186611984079572,0.999999999999999,0.0938820393953939,-0.257723136838632,-0.283475511658301,-0.0118347232047034,-0.00780827064262475,-0.00990761517475503,0.0702768847233309,0.0105620557530561,0.0105064320777594,0.0099130925211483,-0.110390274498277,-0.0987334179088724,-0.091852608407727,-0.111590799157226,-0.0724208887821797,-0.108395890612302,-0.107153936679331,-0.0979630053798465,-0.0806646811257048,-0.0866052600197653,-0.0995421723767341,-0.0912945327429626,-0.0800291385742845,-0.106039242149716,-0.0727767075313914,-0.0823645661571763,-0.108893073265457,-0.0968379403369714,-0.0841037310507056,-0.0667849449936859,-0.0761500898530091,-0.118203577725977,-0.103521535590488,-0.0970746279447293,-0.0655170656689692,-0.106002299954001,-0.0699230204384942,-0.101242692661533,-0.0949591013086297
"BCAperRGDPL",0.988972163665877,-0.223966775671926,-0.0257164740884491,0.0608950368505955,-0.436382940665833,0.112668599292614,-0.443520168994707,-0.0757626575722442,-0.075949289104564,-0.0782778180188242,0.0938820393953939,1,-0.213627614698425,-0.103939552430437,-0.024133182522886,-0.591399059415857,-0.537264544917619,-0.52617220232987,-0.557184738835483,-0.55712908452432,-0.557000826529122,-0.267116693456781,-0.199464231151405,-0.395360462420272,-0.276949290800605,-0.33992091040357,-0.300250175801428,-0.253527284401965,-0.19675443229879,-0.431381259557731,-0.429625001507961,-0.246517618997638,-0.427892676543189,-0.435785261292653,-0.291877189096812,-0.370157332005426,-0.430118217395856,-0.313035860718502,-0.280594687569852,-0.4617658745842,-0.441883485815773,-0.40668717642802,-0.265890595422315,-0.339782413077637,-0.326197623540895,-0.402798277079817,-0.27512549564451,-0.30975202669573,-0.242734532370642,-0.190642531084978
"KCxRGDPL",-0.22817551994261,0.0752066885608768,-0.344628288296984,-0.273879592276868,0.29411530363777,0.0103770717309726,0.280238156449871,0.876145771261379,0.87658902830644,0.884549042157819,-0.257723136838632,-0.213627614698425,1,0.600021503463285,0.629866269348519,0.367430230320307,0.346478268106575,0.339598325545926,0.363157381016753,0.363103000666116,0.362627732681348,0.380333743136119,0.44153922210402,0.387029640709638,0.331887211462181,0.380830236664125,0.395951488235528,0.41289296144771,0.449489266394983,0.347230199843344,0.354237854469987,0.273718396781466,0.376311024489107,0.393928017694608,0.338403890302757,0.311351704497688,0.352604445129616,0.371572026787016,0.391599270334642,0.414501109900106,0.331292451157611,0.379237880869229,0.374696901304495,0.416185857570597,0.412075860126809,0.394836574395165,0.415548008682575,0.409558590707257,0.42633425611157,0.445685632767891
"KGxRGDPL",-0.10364782162525,-0.295222422471639,0.362795978491432,-0.219812863517762,0.122335081897489,0.371941274439802,0.109922145118111,0.691134140915594,0.691456251674792,0.690178381270891,-0.283475511658301,-0.103939552430437,0.600021503463285,0.999999999999999,0.52004936854244,0.183924856371238,0.210659995079947,0.143117140474454,0.179703233148277,0.179778868910085,0.180810009358102,0.261865345453095,0.282267091600338,0.269546264323041,0.244693601106947,0.266539845985018,0.271958276920299,0.273832712776369,0.281529200272499,0.244105106584044,0.252391855985852,0.216380698265034,0.259137666804898,0.267876362642597,0.249866205658122,0.233546663062947,0.256238356651679,0.262932971901909,0.272758733827983,0.279381673197984,0.236682815628673,0.267058118153171,0.260336383498359,0.279641892258811,0.282055728050378,0.268416853172807,0.277310663713287,0.277274307381312,0.275604551553782,0.27645615220646
"KIxRGDPL",-0.0388255645686992,-0.615322932485472,-0.394737172449269,0.433976699155061,0.0624897088064258,0.499235444148342,0.0399421551325742,0.8658869480831,0.865024958164215,0.854080095846707,-0.0118347232047034,-0.024133182522886,0.629866269348519,0.52004936854244,1,0.0908251196213186,0.0676252801752553,0.143621899824472,0.102729530099139,0.102549671349327,0.100830558564555,0.0213595033812588,0.0949546772395292,0.049630430414951,-0.0123024894738087,0.0632263660864675,0.0392127218665339,0.0623158226383684,0.116826402834299,0.038378204592227,0.037018564718204,-0.0355460473928518,0.046029256088096,0.0760420406729693,-0.00096192610514903,0.0102847472803929,0.0392766218864444,0.0209911404562645,0.0601997120410922,0.0874986879243784,0.0569291295280823,0.0637656426495509,0.0270610965775242,0.0628908100069554,0.0689686017086273,0.0942806179764931,0.0714960605344388,0.0983707155826465,0.0920842290926235,0.131602558681398
"KCxRGDPLxPOP",-0.63961245761557,0.226422822854224,-0.0689630688460163,-0.111130614451492,0.968019366606978,-0.273854746760778,0.965480379696993,0.193550287534333,0.193867695389479,0.194657157490471,-0.00780827064262475,-0.591399059415857,0.367430230320307,0.183924856371238,0.0908251196213186,1,0.986381803187174,0.974255875164834,0.998241781233083,0.998259617434919,0.998451990744542,0.709987855726071,0.626686683372347,0.827750871609127,0.698761994470918,0.793478672468423,0.730110851433131,0.661775254185006,0.5943377706565,0.83684405587652,0.829630607642309,0.658986686931728,0.825606779602809,0.851320788446759,0.712095671165329,0.775823988849796,0.816923128420763,0.723680089084568,0.703825761868977,0.838756807299554,0.764304392734036,0.822772778269385,0.625385940871512,0.748821115010486,0.736961306950122,0.809185043912606,0.657598309718324,0.739408902699877,0.619015809620586,0.555981854999736
"KGxRGDPLxPOP",-0.576931687372694,0.224822655145899,-0.0228043116234711,-0.133360742359918,0.974562124110876,-0.276971860347769,0.975258061585263,0.178318685712807,0.178734965659277,0.180542840178933,-0.00990761517475503,-0.537264544917619,0.346478268106575,0.210659995079947,0.0676252801752553,0.986381803187174,1,0.948685408820167,0.985469852212889,0.985608447438141,0.987142176780789,0.720021101971657,0.618695831396799,0.830448656727815,0.722949203264249,0.793126778464182,0.730567986653298,0.652095671004383,0.576818348472854,0.846679747077593,0.840397118013739,0.702512951727679,0.826800644634186,0.839510893947822,0.732102149325304,0.795010473944286,0.82306666546349,0.7288731318986,0.695630228656946,0.81611422636789,0.759293542257966,0.81699867760779,0.620361467910077,0.736911650971496,0.721296106401742,0.790291058053655,0.640696988913083,0.719013831945251,0.597775201753335,0.532159226536471
"KIxRGDPLxPOP",-0.586324106579654,0.16456373063913,-0.117585696561613,-0.00541259652564973,0.969296998867789,-0.280869841492783,0.959735424597775,0.191023075326536,0.191152064703586,0.189705494696879,0.0702768847233309,-0.52617220232987,0.339598325545926,0.143117140474454,0.143621899824472,0.974255875164834,0.948685408820167,1,0.983686953693231,0.983561222202338,0.982004542814075,0.680775777259284,0.623114224917274,0.784733469833718,0.650428688526271,0.770797337705797,0.69788058807671,0.644297557300333,0.592963520186681,0.781413966212312,0.772489513060508,0.60086513970273,0.772728535689053,0.809759531646031,0.662104106820306,0.72086395001817,0.768041310403878,0.679445022278928,0.676969768116956,0.799998724029451,0.730137099696185,0.787001736926687,0.591811757849509,0.714870980688588,0.709834393392758,0.788088866881024,0.636400146954975,0.72941957063789,0.60752622968501,0.555559156308838
"RGDPCHxPOP",-0.60826876888642,0.210078318972626,-0.0795421604979367,-0.0923090606099484,0.977660829768958,-0.277859293886548,0.973844799187479,0.195841190878856,0.196129273224249,0.196440515320645,0.0105620557530561,-0.557184738835483,0.363157381016753,0.179703233148277,0.102729530099139,0.998241781233083,0.985469852212889,0.983686953693231,1,0.999999481438753,0.999935313164879,0.715382124027719,0.636884964476972,0.82719171160133,0.700028442743819,0.79788217472604,0.733302390749741,0.667627579319739,0.60338413920273,0.832693324951349,0.825143849692976,0.65901299519797,0.821519880245893,0.848903759134408,0.712341839800343,0.772810330707915,0.813560998289155,0.723871057378043,0.707397386091546,0.835128476868773,0.761821959122492,0.82217431670209,0.626847291625282,0.749624529268396,0.739069102853672,0.810551009446334,0.661131942025686,0.744858226616248,0.624520785594675,0.563796548191933
"RGDPLxPOP",-0.608169495712277,0.210175457012775,-0.0793696830675266,-0.0925293092020142,0.977702280041525,-0.277881788711276,0.973909884197153,0.195765795823049,0.196055167701338,0.196376432188512,0.0105064320777594,-0.55712908452432,0.363103000666116,0.179778868910085,0.102549671349327,0.998259617434919,0.985608447438141,0.983561222202338,0.999999481438753,1,0.999945001309774,0.715380168576719,0.636788881728527,0.82720557343075,0.700108881482987,0.797834402063541,0.733275688592386,0.667541007813275,0.603257767855901,0.832754558720418,0.825219883593914,0.659185614276797,0.821556754321242,0.84887722563125,0.712412403722991,0.772868009925922,0.813583883676011,0.723881736996437,0.707330679517442,0.835063096732856,0.761794797662028,0.822133242717446,0.626797551201754,0.749568058028799,0.738981025797074,0.810453334484724,0.661028847677368,0.744727675594325,0.624392423795282,0.563654060511894
