ID,EC1,EC2,EC3,EC4,EC5,EC6
ec:6.3.5.5,0,0,0,0,0,1
ec:4.4.1.1,0,0,0,1,0,0
ec:6.3.5.1,0,0,0,0,0,1
ec:5.3.1.9,0,0,0,0,1,0
ec:5.3.1.8,0,0,0,0,1,0
ec:5.3.1.6,0,0,0,0,1,0
ec:5.3.1.1,0,0,0,0,1,0
ec:1.1.2.4,1,0,0,0,0,0
ec:3.2.1.45,0,0,1,0,0,0
ec:4.3.2.2,0,0,0,1,0,0
ec:2.3.1.61,0,1,0,0,0,0
ec:5.3.3.2,0,0,0,0,1,0
ec:5.4.2.3,0,0,0,0,1,0
ec:2.1.1.100,0,1,0,0,0,0
ec:1.17.1.4,1,0,0,0,0,0
ec:4.2.1.76,0,0,0,1,0,0
ec:2.3.2.2,0,1,0,0,0,0
ec:2.3.2.4,0,1,0,0,0,0
ec:4.1.2.13,0,0,0,1,0,0
ec:2.4.1.41,0,1,0,0,0,0
ec:6.4.1.3,0,0,0,0,0,1
ec:1.2.1.41,1,0,0,0,0,0
ec:5.1.3.1,0,0,0,0,1,0
ec:1.2.1.47,1,0,0,0,0,0
ec:1.1.1.271,1,0,0,0,0,0
ec:1.3.99.12,1,0,0,0,0,0
ec:1.6.1.2,1,0,0,0,0,0
ec:2.7.7.18,0,1,0,0,0,0
ec:2.7.7.14,0,1,0,0,0,0
ec:2.7.7.15,0,1,0,0,0,0
ec:2.7.7.12,0,1,0,0,0,0
ec:2.7.7.13,0,1,0,0,0,0
ec:2.4.1.101,0,1,0,0,0,0
ec:1.3.1.2,1,0,0,0,0,0
ec:2.6.1.1,0,1,0,0,0,0
ec:2.6.1.7,0,1,0,0,0,0
ec:2.6.1.5,0,1,0,0,0,0
ec:2.4.1.38,0,1,0,0,0,0
ec:1.3.3.6,1,0,0,0,0,0
ec:4.2.1.134,0,0,0,1,0,0
ec:2.7.1.11,0,1,0,0,0,0
ec:2.7.1.12,0,1,0,0,0,0
ec:2.4.2.28,0,1,0,0,0,0
ec:2.7.2.3,0,1,0,0,0,0
ec:2.4.2.26,0,1,0,0,0,0
ec:2.7.6.1,0,1,0,0,0,0
ec:2.7.6.2,0,1,0,0,0,0
ec:4.1.1.65,0,0,0,1,0,0
ec:1.11.1.6,1,0,0,0,0,0
