country_year,BCA,KC,KG,KI,LE,OPENK,POP,RGDPCH,RGDPL,RGDPL2,XRAT
AUT_1984,-0.14117048,70.05892862,8.492492733,23.03375088,2.745,56.97202209,7554.132,23309.75509,23358.44961,23520.70627,1.454118006
AUT_1985,-0.092442,68.92659589,8.239935097,23.53724788,2.76,58.97125671,7559.776,24127.7919,24173.79737,24315.61518,1.503564603
AUT_1986,-0.01952721,69.22654901,8.277306835,23.31200362,2.78,55.90012602,7568.242,24458.06053,24507.12005,24657.8959,1.109503427
AUT_1988,-0.16225132,68.49627282,7.771934773,25.03750628,2.81,59.70107035,7599.791,25749.07675,25777.74011,25868.52606,0.897342355
AUT_1989,0.17255096,68.06549988,7.522975924,25.68555356,2.862,63.30892925,7627.861,26707.20642,26725.227,26788.83008,0.961512467
AUT_1990,0.84257492,67.90880483,7.279481295,25.95548395,2.929,65.76519133,7722.953,27500.60852,27511.8048,27554.82583,0.82627559
AUT_1991,0.04564203,68.04048686,7.236133057,26.5758914,2.997,66.51570133,7818.423,27957.89508,27956.02664,27983.42295,0.848520745
AUT_1992,-0.52316434,69.08397675,7.157188471,25.86797834,3.056,66.40119013,7914.969,28127.14777,28140.88901,28180.39303,0.798623577
AUT_1993,-1.1218957,68.8399325,7.252692898,24.88604548,3.055,62.92698965,7988.599,28224.15355,28249.66896,28317.22355,0.845344942
AUT_1994,-2.622032,69.27168166,7.362870506,25.84406376,3.071,66.92530722,8027.54,28545.50802,28559.8847,28615.19855,0.830054577
AUT_1995,-5.647066,67.71670762,7.360537637,27.06350388,3.068,69.19028256,8047.433,29359.63704,29356.41773,29382.3404,0.732651178
AUT_1996,-5.6215484,68.13138383,7.290172643,26.70626178,3.047,70.89946059,8060.852,29896.8583,29899.5316,29929.89558,0.769358226
AUT_1997,-4.34644272,67.39565041,7.003424192,26.44965693,3.056,75.89013749,8069.876,30604.9828,30605.01753,30619.43198,0.886913803
AUT_1998,-2.99882832,66.64981851,6.861107572,26.20206234,3.077,78.16326452,8078.622,31684.98817,31684.59266,31693.20974,0.899624281
