"","Globalisation_score","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"sig_10",0.212272941619087,0.900537104410824,0.724460270713378,0.980037076369342,0.937149730149029,0.849042089317487,0.930802047761129,0.854776886826045,0.692614590665499,0.973745480805899,0.999999999999985,0.914023234703781,0.982853701274161,0.965048640582673,0.966865659695781,0.778449308447522,0.896364729746956,0.968553120713366,0.904649736798821,0.960699075293595,0.696411367725634,0.902652181669136,0.912053452664314,0.926391454295308,0.925975118285824,0.853622043876676,0.869574693142204,0.836239828436369,0.79873551877083,0.654274898091051
"sig_11",0.188025500205557,0.895628125605439,0.672112340318373,0.891696815963901,0.976591444341718,0.806771637827714,0.880605682113,0.806510984489519,0.6085260799101,0.881076062293456,0.914023234703781,0.999999999999919,0.856836962875884,0.825229504713579,0.963946037683847,0.731834374916088,0.856628424142871,0.933587905746907,0.797403488387993,0.809003264612889,0.652583202398166,0.822396615128695,0.914603257781013,0.824385311714078,0.82653671122882,0.776021090307264,0.784228890072449,0.757439252822622,0.70969033457708,0.543934924903351
"sig_12",0.22305545433525,0.883226435288908,0.740581715712624,0.971673533001525,0.897646974033022,0.794290389641904,0.930455757591511,0.858670000545052,0.727495068613327,0.943742658180219,0.982853701274161,0.856836962875884,0.999999999999978,0.976427273651891,0.939842529508231,0.707478573060709,0.828344134202744,0.955857744629203,0.915435435048384,0.986984387274729,0.612067807797872,0.863590657035964,0.88583858916063,0.956244638566897,0.933596133977595,0.815006228392804,0.890331915719532,0.815100752109488,0.826289426966615,0.705340851259976
"sig_13",0.257259763842991,0.910313044000024,0.797416862984471,0.98417493447253,0.894381183802092,0.846318696330755,0.957408317508279,0.90810027031887,0.790089972638659,0.962851901452747,0.965048640582673,0.825229504713579,0.976427273651891,0.999999999999961,0.937440426222374,0.7685066728442,0.859349546218221,0.960454944617512,0.970031412167744,0.991436832853063,0.659642344122746,0.909649433038143,0.914474839263459,0.972577847738763,0.974066065736254,0.861205674846149,0.938867706295511,0.877699205699003,0.887305848358348,0.769984713870748
"sig_14",0.244862844911413,0.958928561176872,0.783001546320249,0.973054633722604,0.990717001809163,0.867701928415266,0.968337857913746,0.91117987227776,0.742573088794178,0.950774500877484,0.966865659695781,0.963946037683847,0.939842529508231,0.937440426222374,1.00000000000002,0.781112066143943,0.893650953747353,0.994308825294124,0.923648558273567,0.923225930802692,0.683407959554143,0.900830013051735,0.973661525194681,0.93752246208558,0.9419217674459,0.851596968407802,0.909685550327567,0.859186784635448,0.846576688279261,0.694596062592868
"sig_15",0.215334994499003,0.79731359129649,0.660879996705626,0.818714158745815,0.788713174423524,0.929610870583263,0.780550315084522,0.760792430463443,0.604137792495996,0.882265575640419,0.778449308447522,0.731834374916088,0.707478573060709,0.7685066728442,0.781112066143943,0.999999999999942,0.934971186281793,0.78384192278578,0.771818445662516,0.710926478978893,0.879581399110445,0.924974363667748,0.799914279656421,0.6926639735945,0.792185975918519,0.884630410882225,0.726564728262707,0.86273006567073,0.688546970254909,0.540220234944476
"sig_16",0.216462451723229,0.87077809727918,0.698956314092278,0.909893139261331,0.891823150992826,0.975210577012747,0.864545325083277,0.822731237138398,0.642040583988675,0.952726413349177,0.896364729746956,0.856628424142871,0.828344134202744,0.859349546218221,0.893650953747353,0.934971186281793,0.999999999999948,0.889571448148551,0.84120477191028,0.819254562837624,0.920387322750923,0.978470972113509,0.886619610595009,0.791191443477828,0.871387899210128,0.958573731393687,0.799159267538457,0.919298482392314,0.744877864673791,0.578428344775511
"sig_17",0.265015268446056,0.969149567364689,0.818227180419863,0.986840900805852,0.979105454220897,0.876137279075932,0.985897006833584,0.937933612744744,0.787223639585685,0.957270331060375,0.968553120713366,0.933587905746907,0.955857744629203,0.960454944617512,0.994308825294124,0.78384192278578,0.889571448148551,0.999999999999928,0.950336317563426,0.950357136735588,0.680976976278211,0.913448367418516,0.97768129880529,0.965278623751774,0.969031613583657,0.86696216168145,0.942356590771266,0.884976826271337,0.887206700726196,0.746179082301677
"sig_18",0.304372145648109,0.934837353015874,0.858547223417895,0.958299845414102,0.889723814379006,0.856828381003408,0.972669818788986,0.95640258914925,0.857377653902763,0.926406773296557,0.904649736798821,0.797403488387993,0.915435435048384,0.970031412167744,0.923648558273567,0.771818445662516,0.84120477191028,0.950336317563426,0.999999999999975,0.948634711078417,0.651003881399746,0.905492985845506,0.943230257581239,0.96954354259791,0.989155818248662,0.856154832493265,0.981182615486603,0.907002168679322,0.94829801918025,0.839521890833497
"sig_19",0.25189469574232,0.891798494112284,0.786820977718503,0.97367964436015,0.875559618074169,0.806667756445232,0.945207071165688,0.892311839762849,0.786000903461483,0.938066278397129,0.960699075293595,0.809003264612889,0.986984387274729,0.991436832853063,0.923225930802692,0.710926478978893,0.819254562837624,0.950357136735588,0.948634711078417,0.999999999999946,0.60980916639917,0.874972974157303,0.891347220315153,0.976774022159469,0.961419487041207,0.83230163306135,0.929009094124098,0.849789954607006,0.878792386195151,0.772404626604027
"sig_20",0.174815583616464,0.68502282921506,0.544952069831002,0.719774226716764,0.691428771002206,0.920320893284386,0.662616864213153,0.644800409828387,0.481246838355932,0.79647405889573,0.696411367725634,0.652583202398166,0.612067807797872,0.659642344122746,0.683407959554143,0.879581399110445,0.920387322750923,0.680976976278211,0.651003881399746,0.60980916639917,1.00000000000006,0.877615817099625,0.698481920319605,0.564406518443092,0.688689792062714,0.902700466198879,0.603076999660672,0.84888801927814,0.567613515551042,0.411759772466436
"sig_21",0.256192747184171,0.902687538250561,0.774431168485359,0.939504972021276,0.888007692273566,0.9798707091122,0.910880863663822,0.883677938668937,0.736260117149559,0.960927401058264,0.902652181669136,0.822396615128695,0.863590657035964,0.909649433038143,0.900830013051735,0.924974363667748,0.978470972113509,0.913448367418516,0.905492985845506,0.874972974157303,0.877615817099625,1.00000000000004,0.908875210794,0.859124028616189,0.929539140257512,0.978449948128754,0.874066200856341,0.959395253072416,0.83142738527038,0.68699965696677
"sig_22",0.303228017313765,0.986044376366067,0.854357192299697,0.954489239390646,0.976166563176577,0.895063139286961,0.981182410015476,0.964674020976107,0.815729921912588,0.925239472234106,0.912053452664314,0.914603257781013,0.88583858916063,0.914474839263459,0.973661525194681,0.799914279656421,0.886619610595009,0.97768129880529,0.943230257581239,0.891347220315153,0.698481920319605,0.908875210794,0.999999999999957,0.929165723288464,0.959166073474465,0.865139223330586,0.950030866401859,0.902255383971778,0.91097920129616,0.765529912504794
"sig_23",0.296207515783559,0.935552051274605,0.854401368952315,0.96439602455073,0.901929911081827,0.801194620351059,0.977730532150022,0.944534632251188,0.855423718717577,0.906488547500678,0.926391454295308,0.824385311714078,0.956244638566897,0.972577847738763,0.93752246208558,0.6926639735945,0.791191443477828,0.965278623751774,0.96954354259791,0.976774022159469,0.564406518443092,0.859124028616189,0.929165723288464,1.00000000000004,0.977049339147389,0.813149999009433,0.973146272015201,0.860206801096491,0.935643899547624,0.841304543441117
"sig_24",0.309365095886955,0.956977074349297,0.873723031592973,0.977264372409906,0.914687499513749,0.889836230627475,0.986790329323787,0.970133735102463,0.865003238893107,0.94331686097066,0.925975118285824,0.82653671122882,0.933596133977595,0.974066065736254,0.9419217674459,0.792185975918519,0.871387899210128,0.969031613583657,0.989155818248662,0.961419487041207,0.688689792062714,0.929539140257512,0.959166073474465,0.977049339147389,1.00000000000004,0.891627651768301,0.985366785397422,0.933252277202724,0.953520666676388,0.840358683858522
"sig_25",0.257254032071109,0.864850992394219,0.754550525278786,0.896170125665903,0.842030555390555,0.981072139014638,0.868261110563177,0.85115223536607,0.716630030095995,0.916372701323272,0.853622043876676,0.776021090307264,0.815006228392804,0.861205674846149,0.851596968407802,0.884630410882225,0.958573731393687,0.86696216168145,0.856154832493265,0.83230163306135,0.902700466198879,0.978449948128754,0.865139223330586,0.813149999009433,0.891627651768301,1.00000000000005,0.835212545528287,0.971400741209299,0.803135952530871,0.666476048322725
"sig_26",0.352309969908799,0.954460909085653,0.915176811628511,0.938966254234077,0.887004595210249,0.838461228901594,0.979853536373361,0.986791246699475,0.916391393563804,0.883225756570133,0.869574693142204,0.784228890072449,0.890331915719532,0.938867706295511,0.909685550327567,0.726564728262707,0.799159267538457,0.942356590771266,0.981182615486603,0.929009094124098,0.603076999660672,0.874066200856341,0.950030866401859,0.973146272015201,0.985366785397422,0.835212545528287,0.999999999999994,0.905128372325991,0.986461621410509,0.899052100047927
"sig_27",0.321363699691836,0.90979430547986,0.847651376522513,0.906676735485907,0.850912433113678,0.971880076807745,0.912341496679498,0.922253682155628,0.821046795023899,0.902179918414588,0.836239828436369,0.757439252822622,0.815100752109488,0.877699205699003,0.859186784635448,0.86273006567073,0.919298482392314,0.884976826271337,0.907002168679322,0.849789954607006,0.84888801927814,0.959395253072416,0.902255383971778,0.860206801096491,0.933252277202724,0.971400741209299,0.905128372325991,0.999999999999951,0.893689304193735,0.776847975182618
"sig_28",0.407531493095901,0.927770600946586,0.951599584341944,0.886349794669159,0.828129948018297,0.809276111175285,0.945397726442781,0.982602835329018,0.961037597312044,0.822340906388968,0.79873551877083,0.70969033457708,0.826289426966615,0.887305848358348,0.846576688279261,0.688546970254909,0.744877864673791,0.887206700726196,0.94829801918025,0.878792386195151,0.567613515551042,0.83142738527038,0.91097920129616,0.935643899547624,0.953520666676388,0.803135952530871,0.986461621410509,0.893689304193735,0.999999999999983,0.948612580599104
"sig_29",0.496053924879109,0.805843665518989,0.954120426043585,0.751879347814867,0.669566028200331,0.663397954370865,0.827410880716018,0.893324238250603,0.989374159840096,0.671661679392065,0.654274898091051,0.543934924903351,0.705340851259976,0.769984713870748,0.694596062592868,0.540220234944476,0.578428344775511,0.746179082301677,0.839521890833497,0.772404626604027,0.411759772466436,0.68699965696677,0.765529912504794,0.841304543441117,0.840358683858522,0.666476048322725,0.899052100047927,0.776847975182618,0.948612580599104,0.999999999999966
