"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","protein.metabolism","death","other.metabolic.processes","signal.transduction","stress.response","other.biological.processes","cell.adhesion","DNA.metabolism","cell.cell.signaling","developmental.processes","cell.organization.and.biogenesis","cell.cycle.and.proliferation","RNA.metabolism","transport"
"sig_11",0.799908196457585,0.329534314573728,0.85919104514693,0.985646341973176,0.547557397722656,0.798328690715119,0.363113406625162,0.222954505970148,0.885290939508643,0.9400855878006,1.00000000000011,0.940860492793828,0.908289167016655,0.993953174153661,0.777090556597685,0.923528691984939,0.92734534707848,0.871884528707672,0.803795904320442,0.794506579711252,0.640087445636157,0.781488753890909,0.740344593563053,0.46789596901707,0.428305611810656,0.309707245042195,0.209606226930208,0.186131294980162,0.187168755408398,0.00317074913535556,0.0373685336359645,-0.0100020451686435,-0.00702449726921251,-0.00430636724564668,-0.000372635115124461,-0.0029654726230487,-0.00313807291020275,-0.00357783308609111,-0.00766968928541786,0.00359003586380198,0.0253077287375476,-0.00948566358960476,-0.00836272172939942
"sig_12",0.908395475911037,0.512985067515171,0.964798868100573,0.961417401686132,0.735431651753817,0.901884149418746,0.549232837110848,0.404541725272477,0.960791040537408,0.971291357458026,0.940860492793828,0.999999999999668,0.98914407485172,0.948457842805801,0.92927463188942,0.977290674459674,0.954202392660847,0.936019653680659,0.915847578577642,0.832662609125203,0.807874316331163,0.842653644268255,0.836141355894095,0.64537540641877,0.612191590058593,0.497987731265721,0.414942531994261,0.381291014630045,0.367928989048811,0.0339470086096257,0.0423351387864798,-0.0098080703395625,-0.0108072080385994,-0.00100510045132413,-0.00922156076937782,-0.00501895712873891,-0.00488859689302985,-0.0060500870353977,-0.0104623068848197,-0.00256206682480281,0.020012868229234,-0.0122718641159001,-0.0129008883628807
"sig_13",0.932351811684944,0.568210320838745,0.975432978281292,0.941245479479213,0.783456094222374,0.926336640528638,0.595600972851395,0.455752166441961,0.95117936360741,0.946169179250825,0.908289167016655,0.98914407485172,1.0000000000001,0.925030474055577,0.956278203430189,0.976512384254859,0.946404628088269,0.949814259072429,0.939482138121147,0.848965545449087,0.846540824141595,0.842228992014462,0.862907149844395,0.684411309942628,0.659809698557319,0.542231520492938,0.462026459401063,0.428888558591455,0.416348534473033,0.0397109389505168,0.0428011597114656,-0.00933888907856124,-0.011639045595722,-0.000367035574183507,-0.0084231464255511,-0.00577838305385769,-0.00530129260592246,-0.00695738618753036,-0.0121862783858663,-0.00348207585930683,0.0159426785589818,-0.0122866664019715,-0.0148157684832776
"sig_14",0.831551959524867,0.385724127093144,0.87180777419929,0.989612583116381,0.600832436145783,0.840304350700387,0.421384945027898,0.27785668054286,0.876396530335251,0.926691014251359,0.993953174153661,0.948457842805801,0.925030474055577,1.00000000000006,0.80376820304129,0.939262685133696,0.955149985125889,0.908190659460008,0.84311845168064,0.832174765462591,0.688179502344969,0.82991227646387,0.790053797993685,0.523673290476284,0.486307608748024,0.367839261227736,0.266208416772982,0.24151759447479,0.240396502342532,0.00997806914633378,0.0396414727499651,-0.0106706296261513,-0.00764025430711115,-0.00399461836206386,-0.00258114401967497,-0.00355401755819792,-0.00372436657307863,-0.00428708633522466,-0.00868343676436836,0.00254289793432361,0.026261538814106,-0.0104121549526231,-0.00966576178947165
"sig_15",0.93705917494171,0.672795901657138,0.959442921912813,0.835140612235457,0.900017753164049,0.933913095548552,0.710309289003372,0.570709394395637,0.898385912206924,0.856293364533151,0.777090556597685,0.92927463188942,0.956278203430189,0.80376820304129,0.999999999999997,0.94002830061113,0.886194799002005,0.924218616430067,0.950317976239382,0.860989570994324,0.932402377639228,0.829235935919484,0.872547084162069,0.790153210101778,0.789914539607551,0.666723618565395,0.616487678512149,0.566789606512012,0.535463764104092,0.0601541770031134,0.0412452808479672,-0.00704780136756976,-0.0157397411102638,0.00208496182767351,-0.0144914902791843,-0.00693272279910673,-0.00641026463092903,-0.00833646079457433,-0.0133019604589262,-0.00702639582078159,0.0105802494603704,-0.0135910220446267,-0.0161721272120006
"sig_16",0.916764841183569,0.528588319785501,0.95757268099183,0.951962052536288,0.7816572813347,0.912706596992346,0.567441891569434,0.417665529749628,0.933468597719488,0.93515820553087,0.923528691984939,0.977290674459674,0.976512384254859,0.939262685133696,0.94002830061113,0.999999999999769,0.953730063192796,0.942747986811354,0.927869631182821,0.910473334934151,0.839552454737173,0.855211842934219,0.851725669161704,0.664129794213294,0.657680126496038,0.515541269072554,0.437975114850429,0.396619890589375,0.380373111479948,0.034371287931851,0.0392775860966893,-0.00849586132168872,-0.0115519737363967,0.00107839270906895,-0.0107673472011244,-0.00528372648176893,-0.00526058910077193,-0.00636497794902466,-0.011464706696708,0.000909987745347161,0.0173478054716857,-0.0126017964270219,-0.0120657531035565
"sig_17",0.896835363094904,0.598888657417997,0.88999687734563,0.945468893492963,0.783119392578914,0.947857440893952,0.651845495562868,0.509536049276925,0.841636747096574,0.873302624973174,0.92734534707848,0.954202392660847,0.946404628088269,0.955149985125889,0.886194799002005,0.953730063192796,1.00000000000009,0.983848322874422,0.952624803294434,0.907176326862602,0.853553563969863,0.950367223739287,0.926801840051002,0.741518728232935,0.707966408975691,0.610619679194316,0.521815787764168,0.491713977277011,0.475197064582242,0.0478218635311432,0.0400211062139572,-0.0121940087011883,-0.0111732993716733,-0.00562153370979163,-0.0115379215863793,-0.00519724410193515,-0.00549700780164165,-0.00626745566444369,-0.0120248142243428,-0.00368734341033305,0.0266861341273043,-0.0144953020966008,-0.0139441948601954
"sig_18",0.927541035661737,0.694119855698341,0.901082274832873,0.907073513388763,0.861384993118489,0.982901063633661,0.742669167062656,0.60771478605889,0.825993209591609,0.836220322090298,0.871884528707672,0.936019653680659,0.949814259072429,0.908190659460008,0.924218616430067,0.942747986811354,0.983848322874422,0.999999999999946,0.983543180596411,0.922582581225938,0.91749669531724,0.952176562982929,0.96507214938364,0.82252737384707,0.795608924077818,0.704088487437127,0.626251598125548,0.594169729691032,0.573160429619808,0.0632117636470676,0.0382389499925456,-0.012289046340612,-0.0125307239700517,-0.00578403605704424,-0.0115095494311146,-0.00620190480926178,-0.00635025988654757,-0.00747263586044709,-0.0142592985559546,-0.00664959121234096,0.0220956541271488,-0.0157401331422309,-0.016355025889541
"sig_19",0.921183036023774,0.755907414993361,0.894798674560755,0.845219194214765,0.917415409466165,0.984922199214231,0.805972013302899,0.679457245717729,0.808915956756827,0.801417369829318,0.803795904320442,0.915847578577642,0.939482138121147,0.84311845168064,0.950317976239382,0.927869631182821,0.952624803294434,0.983543180596411,0.999999999999804,0.914667496754699,0.964121690935818,0.938672202374827,0.976249965384246,0.878591608455984,0.86323283083243,0.773334020739165,0.708306060444782,0.673770845537361,0.647949286282356,0.0752163532720283,0.0366699251426164,-0.0110251277785703,-0.0138598643003993,-0.00365214543755923,-0.0152084350351567,-0.00671172724497504,-0.00676741052161277,-0.00807973370376084,-0.0148377081173365,-0.00832061094518982,0.0170004485600486,-0.0164670196015549,-0.0175243205034978
"sig_20",0.864614306935806,0.639744935112735,0.818844455318651,0.834972865031517,0.857193036233047,0.9134974480987,0.693110562630245,0.555385156745406,0.726339981311537,0.727471996131701,0.794506579711252,0.832662609125203,0.848965545449087,0.832174765462591,0.860989570994324,0.910473334934151,0.907176326862602,0.922582581225938,0.914667496754699,0.999999999999955,0.882933167111423,0.89534794635033,0.899470070956819,0.770697853003423,0.794475554931355,0.656549543658845,0.596644004498363,0.549804966510274,0.522616078826253,0.055519473306401,0.029392101999041,-0.00967360091207312,-0.0126013062059858,-0.00179923612755562,-0.0121918339452735,-0.00588982234026843,-0.00634431303735172,-0.00709089945232601,-0.0139733184579854,-0.000674926681931137,0.0192699434538964,-0.015434801051917,-0.012587188672078
