"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Immune.system","Endocrine.system","Circulatory.system","Digestive.system","Excretory.system","Nervous.system","Sensory.system","Development","Environmental.adaptation"
"sig_19",-0.20184595085282,-0.231623869920386,0.330054709094457,-0.007002690163879,0.0248970048560498,0.253781470673983,0.0663968632765416,-0.155949172978116,0.580443567746734,0.550709423362509,0.157153059084368,0.557224444663822,0.570853612826742,0.316491437958754,0.169029305494469,0.316416330697857,0.404493479981265,0.358279275717575,0.999999999999999,0.066621290100047,0.121617384676443,0.0948321496585538,0.292046948963947,0.596884788495792,0.0963163064721657,0.290190585761732,0.198588315149682,0.121053290719738,-0.0846611859080606,0.0281757973128647,0.124549201828074,0.0559953199043473,0.0617959106937794,0.102352988565764,0.152258339465351,0.122317138619269,-0.0246731155660798,0.130047568583152
"sig_20",0.0323912031138141,-0.105755003656697,0.21526451329202,0.102220149910586,0.733828709047554,-0.0106420154059048,0.0867401716247065,-0.120582122745158,0.356668167095261,0.292106445028556,0.0220918840637739,0.0391938120958597,0.00561721397848235,0.00250234901881838,-0.0251683228017309,0.524374462468651,0.0952656518411459,-0.0328584631163259,0.066621290100047,1,-0.0456570180720453,0.0290161503717409,-0.0929088439583971,-0.0726155164642469,0.647863257104714,-0.0215735654984722,0.416632154230806,-0.0270400055098247,-0.118142097055145,-0.0425283002287832,-0.0541446229904826,-0.0486170647192781,0.0812107493056783,-0.068642270657418,-0.0490066468093537,-0.0520619795084231,-0.0342536593619396,-0.0389525788712783
"sig_21",0.101647992436377,-0.104615780308837,0.409346342935305,-0.0771551779520634,0.522239387595282,0.226206603731549,-0.112770997226596,-0.138855654784292,0.118132849109895,0.059332768546836,-0.0335660957530094,0.191449270776895,0.084642387970884,-0.00415070344006133,0.116037683530873,-0.0316062141860674,-0.00725192308209888,0.0489166524313464,0.121617384676443,-0.0456570180720453,1,-0.0761936545377735,-0.0358613967398541,0.0734371193213288,-0.019916308616388,-0.014690296479289,-0.0398815612793325,-0.0828026471432801,-0.106233889913552,0.0101648834174142,0.00697480865613004,-0.0115644659658973,-0.0187436544608229,-0.0074308517611686,0.0402791071416147,-0.000199699944313777,-0.0037081212867574,0.0675406590673279
"sig_22",-0.0710361732142443,-0.0461518831581432,-0.117532152753294,0.225531433901768,-0.0440218444161398,-0.0352887340570955,0.643010806243019,-0.0069648827589086,-0.0637010224931596,0.0475481003993854,0.135134389382048,-0.00663366584947204,-0.07086807291318,0.209980241348584,0.0872863909177688,0.00868661850539603,0.319282727850028,-0.0423547947429731,0.0948321496585538,0.0290161503717409,-0.0761936545377735,0.999999999999999,0.0331075085687657,0.168290189913083,-0.000405818144470191,0.308438050197248,0.155321266291092,0.507106941829538,-0.0230382036748077,-0.013840556617656,-0.0170223258461754,0.0595612376492034,0.0145318998554339,-0.102933443475236,-0.00440594687639826,0.0343473887260379,-0.0660135414482482,0.00759189770011684
"sig_23",-0.243294378217125,-0.10220619657763,-0.0107359597289327,-0.0643032739852603,-0.131491441498491,0.645497823455969,0.00880112867720735,0.169562606996775,0.0908744428391284,0.0588278261914416,0.015592504318542,0.200701848532428,0.164521658888708,0.453632706349254,0.116179277835296,-0.00467825462091236,0.337118926782542,0.543154884409373,0.292046948963947,-0.0929088439583971,-0.0358613967398541,0.0331075085687657,1,0.426368248756433,-0.032732077380904,0.513752133822866,0.0113762664640763,0.0848098313257126,0.263963834818464,0.307429396520903,0.207627272382353,0.290994302221295,0.218110813472861,0.21656561931909,0.2421006489073,0.309608448738478,0.222712066775325,0.174580887029002
"sig_24",-0.201115071007717,-0.206921274149888,0.114258203219242,-0.0111868596380931,-0.0982965154177581,0.350928808451483,0.136619933957997,-0.102820215045105,0.280436720352007,0.186345694049291,0.102302596986815,0.243404450905282,0.25154547531766,0.328928122146223,0.525861812772992,-0.00939844699231366,0.635271894218658,0.609673677172553,0.596884788495792,-0.0726155164642469,0.0734371193213288,0.168290189913083,0.426368248756433,0.999999999999999,-0.03684846540563,0.508360410126154,0.0800308338143526,0.238156725223747,-0.0311511006015167,0.0655263735664813,0.156351924027147,0.0888217028160249,0.090784890705023,0.142729506726394,0.181107124697044,0.177608395007317,-0.0135187131622288,0.170157517534269
"sig_25",-0.0200874565955024,-0.0702745186397484,0.0275021658197224,0.00658053122605513,0.593961559225687,0.113900377391644,0.209969760849294,-0.090933614635408,0.11028741099203,0.123340156714385,-0.0106469863774103,0.110345144285843,0.0830083232186142,0.0152112208989832,0.00788763271799541,0.226338384637551,0.16460183803254,0.0456715589208239,0.0963163064721657,0.647863257104714,-0.019916308616388,-0.000405818144470191,-0.032732077380904,-0.03684846540563,1,0.0597995918822361,0.606626235812747,0.0365269432937097,-0.101881990811593,-0.0170708101442935,-0.0431895265128734,-0.0427537585214693,-0.028398000423179,-0.058213061157792,-0.0236692492094372,-0.0401442194100416,-0.0290493066184615,-0.0301863786566755
"sig_26",-0.232481665817385,-0.136286168922275,-0.0979566783301439,-0.0439318755450458,-0.0310872706175288,0.396494052265442,0.35110155318479,0.126430475213195,-0.0143403537401907,0.00174275195813125,0.0401320171349866,0.114694976674429,0.0416779023165299,0.302688608178546,0.316480792485696,-0.0640690184147459,0.444273282590648,0.389176101826349,0.290190585761732,-0.0215735654984722,-0.014690296479289,0.308438050197248,0.513752133822866,0.508360410126154,0.0597995918822361,0.999999999999999,0.23303629659302,0.452814657670724,0.238763207166263,0.181156888870374,0.220509220569604,0.28507132719322,0.286162715704585,0.106011423801149,0.275077988901112,0.337422247223711,-0.0285808628312275,0.260959382145314
"sig_27",-0.0565667599732355,-0.0634913865012345,-0.024997106821921,-0.0096224705847896,0.459181225703295,0.0650244812530855,0.390558246160847,-0.0292751988240223,-0.0516451532256893,0.0156029056366891,0.0557537048330719,0.0265822084992205,0.0282290404137478,0.0022231258661713,0.0288915084917702,0.218348984193679,0.212637737312951,0.00788567894687743,0.198588315149682,0.416632154230806,-0.0398815612793325,0.155321266291092,0.0113762664640763,0.0800308338143526,0.606626235812747,0.23303629659302,1,0.279696953119537,-0.00768375992136875,-0.0191687170064364,-0.0412601771382237,-0.0186714006787924,-0.0334975294093594,-0.0726145946455992,-0.0142862087393972,-0.0184219671940064,-0.0362359165259763,-0.0370940585466802
"sig_28",-0.193203695181485,0.0222491848410441,-0.152457228176819,-0.0167974361425193,-0.0540550280478693,-0.0248022179041342,0.630585198685803,0.323695174498501,-0.0981592041505401,-0.0508870620617678,-0.00147190783016974,-0.0505654161120887,-0.0674386623539902,0.0432315996272043,0.0975610704908776,-0.0314387870465196,0.286568442040011,0.0355445352860713,0.121053290719738,-0.0270400055098247,-0.0828026471432801,0.507106941829538,0.0848098313257126,0.238156725223747,0.0365269432937097,0.452814657670724,0.279696953119537,0.999999999999999,0.374945076781308,0.0538332829146302,0.0544270143574117,0.144076277516241,0.0931911048539695,-0.0667461640328539,0.0927440923816798,0.121179853765642,-0.0706482557865954,0.0259605343949857
