"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_21","sig_23","sig_28","Cell.cycle.progression.meiosis","Nuclear.cytoplasmic.transport","Chrom..seg..kinetoch..spindle.microtub.","RNA.processing","Signaling.stress.response","ER.Golgi.traffic","Chromatin.transcription","DNA.replication...repair.HR.cohesion","Protein.degredation.proteosome","Golgi.endosome.vacuole.sorting","Protein.folding...glycosylation.cell.wall","Metabolism.mitochondria","Ribosome.translation","Cell.polarity.morphogenesis"
"sig_11",0.0703101052578977,-0.00474679597885501,0.0467186000723241,0.579516452459016,0.0355263393611535,0.0353073551996894,0.00746237791067594,0.0120119068003179,0.264979123555045,0.505018503933524,0.999999999999992,0.0120119068003179,0.0019870620646874,0.522160306117404,0.66803468684198,0.306378765238793,0.174372397106365,0.0120119068003179,0.0120119068003179,0.0120119068003179,-0.00606232786673136,0.0233085261018685,-0.00854251575302085,-0.0148922019176245,0.00091293408804663,-0.00984065143019841,-0.0262845649965602,-0.0199281263896618,-0.0137861382591517,0.0113240234294234,-0.0139292864109984,-0.0256869186345697,0.0627572559991715,0.0524564960973951
"sig_12",0.0235156475486329,0.0240787334707455,0.0710794671046572,0.0655737874497422,0.999379934463362,0.265819522684393,0.153561463504231,1.00000000000002,-0.00119058716937452,0.135533406422734,0.0120119068003179,1.00000000000002,0.315527730407859,0.421975883407784,-0.00082236842105264,0.896770705898784,0.958366660100352,1.00000000000002,1.00000000000002,1.00000000000002,-0.00261023481225043,-0.00568373316480104,-0.00894909909645277,-0.00948463280088655,-0.00653043570883617,-0.00423705406619249,-0.0113172510769983,-0.00858038205598898,-0.00593584820907046,-0.0102136652145547,-0.00599748299647779,0.0711675627053792,-0.00734904306403547,-0.00858038205598897
"sig_13",0.0486333823255295,0.0268368657372779,0.230826999324199,0.0736538717327652,0.315304583459428,0.183768923621153,0.0476709588039941,0.315527730407859,-0.00150636037365097,0.354498234211545,0.0019870620646874,0.315527730407859,0.999999999999988,0.132437031655768,-0.0010404808936976,0.28261043601944,0.30216824975498,0.315527730407859,0.315527730407859,0.315527730407859,-0.00330253373145643,-0.00719119996762622,-0.0113226218168091,-0.0120001923230801,-0.00826246899639809,-0.00536082574254708,-0.0143188663539902,0.0882328511698231,-0.00751018216570265,-0.0129225821886072,-0.00758816402522299,0.011545780463731,-0.00929819129642877,-0.0108561118852966
"sig_14",0.0210890821116456,0.00951454409639742,0.0271816900790139,0.26338988601743,0.421687957728615,0.168330496476152,0.0759758963667772,0.421975883407784,-0.00158268182642989,0.0552714080595346,0.522160306117404,0.421975883407784,0.132437031655768,0.999999999999965,-0.00109319803548167,0.378085430114158,0.663280598743676,0.421975883407784,0.421975883407784,0.421975883407784,-0.00346986033978001,-0.00755555025083454,-0.0118962952627123,-0.0126081956453563,-0.00868109633709057,-0.0056324380445719,-0.0150443479196233,-0.0114061490776642,-0.00789069404290526,-0.0135773194371053,-0.00797262694157461,0.0196078601966996,-0.00976929467937282,0.0832647378424123
"sig_15",0.00108845771257461,-0.00268474686335206,0.0298593207501232,0.156249491522721,0.0343881649833584,-0.00212202164639588,-0.000950319835424239,-0.00082236842105264,0.238833660321224,0.519018115779031,0.66803468684198,-0.00082236842105264,-0.0010404808936976,-0.00109319803548167,1.00000000000002,0.441757912340768,-0.00102314310819217,-0.00082236842105264,-0.00082236842105264,-0.00082236842105264,-0.00261023481225043,-0.00568373316480101,-0.00894909909645284,-0.00948463280088654,-0.00653043570883621,-0.00423705406619246,-0.0113172510769983,-0.00858038205598902,-0.00593584820907049,-0.0102136652145547,-0.00599748299647781,-0.0115553826742258,0.111901429055046,-0.00858038205598901
"sig_16",0.0215783389100341,0.0204138760208233,0.0769804699798375,0.127968239772777,0.91179493283756,0.237536905828974,0.137344789765498,0.896770705898784,0.104614747778897,0.351254986378502,0.306378765238793,0.896770705898784,0.28261043601944,0.378085430114158,0.441757912340768,0.999999999999992,0.859331154212248,0.896770705898784,0.896770705898784,0.896770705898784,-0.00349674961298028,-0.00761410109581935,-0.0119884841988847,-0.0127059013695276,-0.00874836946863703,-0.00567608595847444,-0.0151609323183371,-0.0114945396838208,-0.00795184204515369,-0.0136825352717267,-0.00803440987315208,0.0587336759267895,0.0429228189701466,-0.0114945396838208
"sig_17",0.0260534148304959,0.0228727627070978,0.0672344967645198,0.137084717678076,0.95776413515711,0.272440778614858,0.150688332748259,0.958366660100352,-0.00148125952536988,0.129285851859198,0.174372397106365,0.958366660100352,0.30216824975498,0.663280598743676,-0.00102314310819217,0.859331154212248,1.00000000000001,0.958366660100352,0.958366660100352,0.958366660100352,-0.00324750281084347,-0.00707137125830548,-0.0111339502231183,-0.011800230207696,-0.00812478947140917,-0.00527149700290486,-0.0140802676108236,-0.0106752138597489,-0.00738503817864458,-0.0127072500671634,-0.00746172060752479,0.0649218007025713,-0.00914325327953477,0.0191418572192608
"sig_21",0.0235156475486329,0.0240787334707455,0.0710794671046572,0.0655737874497422,0.999379934463362,0.265819522684393,0.153561463504231,1.00000000000002,-0.00119058716937452,0.135533406422734,0.0120119068003179,1.00000000000002,0.315527730407859,0.421975883407784,-0.00082236842105264,0.896770705898784,0.958366660100352,1.00000000000002,1.00000000000002,1.00000000000002,-0.00261023481225043,-0.00568373316480104,-0.00894909909645277,-0.00948463280088655,-0.00653043570883617,-0.00423705406619249,-0.0113172510769983,-0.00858038205598898,-0.00593584820907046,-0.0102136652145547,-0.00599748299647779,0.0711675627053792,-0.00734904306403547,-0.00858038205598897
"sig_23",0.0235156475486329,0.0240787334707455,0.0710794671046572,0.0655737874497422,0.999379934463362,0.265819522684393,0.153561463504231,1.00000000000002,-0.00119058716937452,0.135533406422734,0.0120119068003179,1.00000000000002,0.315527730407859,0.421975883407784,-0.00082236842105264,0.896770705898784,0.958366660100352,1.00000000000002,1.00000000000002,1.00000000000002,-0.00261023481225043,-0.00568373316480104,-0.00894909909645277,-0.00948463280088655,-0.00653043570883617,-0.00423705406619249,-0.0113172510769983,-0.00858038205598898,-0.00593584820907046,-0.0102136652145547,-0.00599748299647779,0.0711675627053792,-0.00734904306403547,-0.00858038205598897
"sig_28",0.0235156475486329,0.0240787334707455,0.0710794671046572,0.0655737874497422,0.999379934463362,0.265819522684393,0.153561463504231,1.00000000000002,-0.00119058716937452,0.135533406422734,0.0120119068003179,1.00000000000002,0.315527730407859,0.421975883407784,-0.00082236842105264,0.896770705898784,0.958366660100352,1.00000000000002,1.00000000000002,1.00000000000002,-0.00261023481225043,-0.00568373316480104,-0.00894909909645277,-0.00948463280088655,-0.00653043570883617,-0.00423705406619249,-0.0113172510769983,-0.00858038205598898,-0.00593584820907046,-0.0102136652145547,-0.00599748299647779,0.0711675627053792,-0.00734904306403547,-0.00858038205598897
"Cell.cycle.progression.meiosis",-0.0200922810672579,-0.00852150878535868,-0.0100308449930336,-0.00988793334276472,-0.0027005983677853,-0.0067353933249059,-0.00301635842731083,-0.00261023481225043,-0.00377897788504839,-0.00707719526789801,-0.00606232786673136,-0.00261023481225043,-0.00330253373145643,-0.00346986033978001,-0.00261023481225043,-0.00349674961298028,-0.00324750281084347,-0.00261023481225043,-0.00261023481225043,-0.00261023481225043,1.00000000000001,-0.0180404278550927,-0.0284048479998055,-0.0301046563614355,-0.0207279002816617,-0.0134486025263544,-0.035921470212034,-0.0272345233250608,-0.018840652484828,-0.0324186384365024,-0.0190362841063963,-0.0366773107441704,-0.0233261972996473,-0.0272345233250608
"Nuclear.cytoplasmic.transport",-0.00703073282025265,-0.0124279548379401,0.00790317066018334,0.0971309089561374,-0.00588049796736696,-0.014666181846584,-0.00656805906877543,-0.00568373316480104,-0.00822864741267567,0.0287469460290913,0.0233085261018685,-0.00568373316480104,-0.00719119996762622,-0.00755555025083454,-0.00568373316480101,-0.00761410109581935,-0.00707137125830548,-0.00568373316480104,-0.00568373316480104,-0.00568373316480104,-0.0180404278550927,0.999999999999973,-0.0618509782567911,-0.0655522763597323,-0.0451345808869989,-0.0292840582159627,-0.0782182701013527,-0.0593026201028769,-0.0410251372297751,-0.0705909252203956,-0.041451121103093,-0.0798640974727599,-0.0507923197478143,-0.0593026201028769
"Chrom..seg..kinetoch..spindle.microtub.",0.0387686038747935,0.053996206480167,-0.004468661219111,0.000615101160886008,-0.00925890739775756,0.0201044999587247,-0.0103414797587321,-0.00894909909645277,-0.0129560939950247,-0.0242639173610439,-0.00854251575302085,-0.00894909909645277,-0.0113226218168091,-0.0118962952627123,-0.00894909909645284,-0.0119884841988847,-0.0111339502231183,-0.00894909909645277,-0.00894909909645277,-0.00894909909645277,-0.0284048479998055,-0.0618509782567911,1.00000000000001,-0.103212765295574,-0.0710648838224862,-0.046108065125909,-0.123155508887192,-0.0933726141942336,-0.0645945205148761,-0.111146172205938,-0.0652652367123598,-0.12574688181328,-0.0799730546072855,-0.0933726141942335
"RNA.processing",0.00561048878545909,-0.030964027205266,-0.022177811024159,0.00682498015768626,-0.00981298070997475,-0.0244739408717023,-0.0109603365737961,-0.00948463280088655,-0.0137314150566604,0.0166541708825781,-0.0148922019176245,-0.00948463280088655,-0.0120001923230801,-0.0126081956453563,-0.00948463280088654,-0.0127059013695276,-0.011800230207696,-0.00948463280088655,-0.00948463280088655,-0.00948463280088655,-0.0301046563614355,-0.0655522763597323,-0.103212765295574,1.00000000000002,-0.0753175622293769,-0.0488672728020122,-0.130525404469415,-0.0989602360803203,-0.0684599981997979,-0.117797402759268,-0.0691708515246019,-0.133271850831132,-0.0847588174787357,-0.0989602360803203
"Signaling.stress.response",0.00335758726881282,-0.0213196012113136,-0.0250957454190986,0.0205985058377777,-0.00675651245376063,-0.0168509947364086,-0.00754649914709303,-0.00653043570883617,-0.00945446440588392,-0.0177061345128718,0.00091293408804663,-0.00653043570883617,-0.00826246899639809,-0.00868109633709057,-0.00653043570883621,-0.00874836946863703,-0.00812478947140917,-0.00653043570883617,-0.00653043570883617,-0.00653043570883617,-0.0207279002816617,-0.0451345808869989,-0.0710648838224862,-0.0753175622293769,1.00000000000002,-0.0336464879557465,-0.0898704019598563,-0.0681368981826436,-0.0471366289297997,-0.0811068157868354,-0.0476260713819756,-0.091761407312356,-0.0583588231533985,-0.0681368981826436
"ER.Golgi.traffic",0.0620150623525861,-0.0138325078187006,-0.0162825322708949,-0.0160505514598055,-0.00438373637562245,-0.010933202461619,-0.0048962927318075,-0.00423705406619249,-0.00613421196390088,-0.0114880312094347,-0.00984065143019841,-0.00423705406619249,-0.00536082574254708,-0.0056324380445719,-0.00423705406619246,-0.00567608595847444,-0.00527149700290486,-0.00423705406619249,-0.00423705406619249,-0.00423705406619249,-0.0134486025263544,-0.0292840582159627,-0.046108065125909,-0.0488672728020122,-0.0336464879557465,1.00000000000002,-0.0583093945078048,-0.0442083398986541,-0.0305830199053002,-0.0526234357013193,-0.0309005782160514,-0.0595363098738286,-0.0378641640412676,-0.0442083398986541
"Chromatin.transcription",-0.0236681833627375,0.0400520047768966,-0.0434909498439871,-0.0231093972718311,-0.0117090422834446,0.0427455397307925,-0.0130780899480324,-0.0113172510769983,-0.0163845954926342,-0.030684747361366,-0.0262845649965602,-0.0113172510769983,-0.0143188663539902,-0.0150443479196233,-0.0113172510769983,-0.0151609323183371,-0.0140802676108236,-0.0113172510769983,-0.0113172510769983,-0.0113172510769983,-0.035921470212034,-0.0782182701013527,-0.123155508887192,-0.130525404469415,-0.0898704019598563,-0.0583093945078048,0.999999999999988,-0.118081307086064,-0.0816878211969932,-0.14055818619782,-0.0825360254158202,-0.159022603090254,-0.101135894086135,-0.118081307086064
"DNA.replication...repair.HR.cohesion",-0.0151848743566199,-0.0256184598228644,-0.00973541653147625,-0.00178880236414289,-0.00887742576515592,-0.0109580973081392,-0.00991539443220297,-0.00858038205598898,-0.0124222824255766,0.0112332588104144,-0.0199281263896618,-0.00858038205598898,0.0882328511698231,-0.0114061490776642,-0.00858038205598902,-0.0114945396838208,-0.0106752138597489,-0.00858038205598898,-0.00858038205598898,-0.00858038205598898,-0.0272345233250608,-0.0593026201028769,-0.0933726141942336,-0.0989602360803203,-0.0681368981826436,-0.0442083398986541,-0.118081307086064,1.00000000000001,-0.061933124079581,-0.106566774075138,-0.0625762057086342,-0.120565911347982,-0.0766780382381706,-0.0895255147717109
"Protein.degredation.proteosome",-0.00739305973262356,-0.0193784798305321,0.020058261083381,-0.0224858204896339,-0.00614134096656875,-0.0153167340414705,-0.00685940042046697,-0.00593584820907046,-0.0085936479759616,-0.0160940144767951,-0.0137861382591517,-0.00593584820907046,-0.00751018216570265,-0.00789069404290526,-0.00593584820907049,-0.00795184204515369,-0.00738503817864458,-0.00593584820907046,-0.00593584820907046,-0.00593584820907046,-0.018840652484828,-0.0410251372297751,-0.0645945205148761,-0.0684599981997979,-0.0471366289297997,-0.0305830199053002,-0.0816878211969932,-0.061933124079581,1.00000000000001,-0.0737221479081819,-0.0432897808235431,-0.0834066530231437,-0.0530453297978034,-0.0619331240795808
"Golgi.endosome.vacuole.sorting",-0.0205603507551789,0.0498415887178983,0.0461854633300001,-0.0139885886069466,-0.0105672514511263,0.0513741625120476,-0.0118027983532619,-0.0102136652145547,0.0948085212732651,0.00203351522374822,0.0113240234294234,-0.0102136652145547,-0.0129225821886072,-0.0135773194371053,-0.0102136652145547,-0.0136825352717267,-0.0127072500671634,-0.0102136652145547,-0.0102136652145547,-0.0102136652145547,-0.0324186384365024,-0.0705909252203956,-0.111146172205938,-0.117797402759268,-0.0811068157868354,-0.0526234357013193,-0.14055818619782,-0.106566774075138,-0.0737221479081819,0.999999999999994,-0.074487640682508,-0.143515737033707,-0.0912737692521418,-0.106566774075138
"Protein.folding...glycosylation.cell.wall",-0.0309907953626249,-0.0195796959739653,0.0194172376356628,-0.0227193016563923,-0.00620510948482231,-0.015475775110779,-0.00693062489787348,-0.00599748299647779,-0.00868287998584449,-0.016261126425395,-0.0139292864109984,-0.00599748299647779,-0.00758816402522299,-0.00797262694157461,-0.00599748299647781,-0.00803440987315208,-0.00746172060752479,-0.00599748299647779,-0.00599748299647779,-0.00599748299647779,-0.0190362841063963,-0.041451121103093,-0.0652652367123598,-0.0691708515246019,-0.0476260713819756,-0.0309005782160514,-0.0825360254158202,-0.0625762057086342,-0.0432897808235431,-0.074487640682508,0.99999999999998,-0.0842727047054581,-0.0535961251533921,-0.0625762057086344
"Metabolism.mitochondria",0.0165812176139165,-0.0355121705734842,0.02922956002267,-0.0283631143946375,0.0707186292836408,-0.00767055796610834,-0.000582104974162339,0.0711675627053792,-0.0167293514645617,0.00738491729882669,-0.0256869186345697,0.0711675627053792,0.011545780463731,0.0196078601966996,-0.0115553826742258,0.0587336759267895,0.0649218007025713,0.0711675627053792,0.0711675627053792,0.0711675627053792,-0.0366773107441704,-0.0798640974727599,-0.12574688181328,-0.133271850831132,-0.091761407312356,-0.0595363098738286,-0.159022603090254,-0.120565911347982,-0.0834066530231437,-0.143515737033707,-0.0842727047054581,0.999999999999979,-0.103263941951464,-0.120565911347981
"Ribosome.translation",-0.036718881480025,-0.0239920695028067,-0.0243071969131096,-0.00885049509957858,-0.0034046443625563,-0.0189633114100088,-0.00849247273649023,-0.00734904306403547,0.017959879042399,0.0421823282465624,0.0627572559991715,-0.00734904306403547,-0.00929819129642877,-0.00976929467937282,0.111901429055046,0.0429228189701466,-0.00914325327953477,-0.00734904306403547,-0.00734904306403547,-0.00734904306403547,-0.0233261972996473,-0.0507923197478143,-0.0799730546072855,-0.0847588174787357,-0.0583588231533985,-0.0378641640412676,-0.101135894086135,-0.0766780382381706,-0.0530453297978034,-0.0912737692521418,-0.0535961251533921,-0.103263941951464,1.00000000000003,-0.0766780382381706
"Cell.polarity.morphogenesis",0.0374073653132927,0.0258062056011572,0.0212486151482174,0.0429704948207019,-0.00887742576515591,-0.015478703992662,0.0946335909879116,-0.00858038205598897,-0.0124222824255766,0.0112332588104144,0.0524564960973951,-0.00858038205598897,-0.0108561118852966,0.0832647378424123,-0.00858038205598901,-0.0114945396838208,0.0191418572192608,-0.00858038205598897,-0.00858038205598897,-0.00858038205598897,-0.0272345233250608,-0.0593026201028769,-0.0933726141942335,-0.0989602360803203,-0.0681368981826436,-0.0442083398986541,-0.118081307086064,-0.0895255147717109,-0.0619331240795808,-0.106566774075138,-0.0625762057086344,-0.120565911347981,-0.0766780382381706,1.00000000000001
