"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"sig_27",0.26018688633031,0.29169420295226,-0.157497274992063,-0.211408596438108,-0.233096470709253,0.034655792585178,0.0273234024760332,0.151549297078193,0.150722859953082,-0.0554367484582732,-0.0138741930971285,-0.054649692454335,0.051808033046116,-0.0471408365895338,0.0116455986777727,0.0189191543059574,-0.0274142668863721,0.0444301608583074,0.00794014858640265,0.00378559014234483
"sig_28",0.0361922628099513,-0.205849638776536,0.0768833980663938,-0.222053732534953,0.0961435077193512,0.46125295975839,0.0476339139226762,-0.0446716318712638,-0.00186329550196004,-0.0468856517851067,-0.0184199513761709,-0.029003808268995,0.0529491828601227,-0.0978215008359053,0.0159060874849423,0.00841797696776065,-0.0300607521436204,0.130319605993514,0.0451042020049552,0.00741111007781631
"sig_29",0.162205002602727,-0.115737293738505,0.357277741876944,-0.205246093156404,0.277862037538482,0.259170891572224,-0.0812758534013857,0.0748233089842591,0.0403074773342494,-0.0836872460954322,0.0491413743399634,-0.0215024572258183,0.0745926597120382,-0.0670102633110701,-0.00105627254536423,-0.0343066797594964,0.0153937372698119,0.128614315552911,0.0251114544012296,0.0079943739436501
"sig_30",-0.493622680352677,-0.330141853279121,0.230391596203513,0.139509471352885,-0.0752137055761715,0.0146010518098709,0.115338859596856,-0.0983400642091633,0.129818499262263,0.113019738551649,-0.0283038221746403,-0.000504988606971158,0.00344997944827115,0.0944709815818504,-0.00157136222891329,-0.0697788192725154,-0.0381799198136326,-0.0728522922249295,0.0148467216068642,-0.0495735525121979
"sig_31",0.390922897832713,0.348392166530204,-0.0810338847947206,-0.242594612065354,-0.0240821978276874,-0.0662713682374909,-0.0326472212568504,-0.0459308445247137,-0.230644712657132,-0.00138539448344449,-0.0222291836211888,0.0958535832716288,0.040955504913169,-0.0469141022102424,-0.0490921670064717,-0.0275154375887864,0.0578250775233427,0.0969032031271769,-0.0228737808367123,0.0210950527153735
"sig_32",0.116879597451771,-0.208459978819989,0.45815095075954,-0.0589531724083315,0.298244022850013,0.242671292352597,-0.00668005322223299,0.0398347754327444,0.0402022000696012,0.021135488922584,0.00444959239052706,-0.0393535461924971,0.038229305478694,-0.0449088190137142,-0.00771885216960496,-0.0387055709322344,-0.00642348388847401,0.0741755295975631,0.0455277312975873,-0.00716973509000982
"sig_33",-0.892484677370036,-0.0875294168115979,-0.0548072898539892,0.100940839137077,-0.0542725845309487,-0.0813009705655572,-0.031327110567252,-0.0598291613184529,0.0751702604263139,-0.0342143093616126,-0.0725503956769476,0.0760782500235313,0.0114765519700627,0.0153294382687343,0.0404549305169457,-0.00420399450272444,-0.0100314891526566,0.00256786888600774,-0.0143438825146368,-0.0021876242579823
"sig_34",0.101886595188287,-0.076012125181152,-0.0320624303883488,0.0433292285292239,0.194785720187193,0.182316640308475,-0.122905512529876,0.00760932537552619,0.12896921948015,-0.0307170279942638,-0.0129575227734415,0.0111738427863871,-0.0223038449964458,-0.0702095923292103,-0.0346825348709729,-0.0352425146731207,0.0165861094643677,0.0759037407771847,0.039948440360004,0.0328476308832184
"sig_35",0.341526667350399,0.291838604628101,-0.176115610739124,-0.00333181652780921,0.184022789180737,-0.000480355158693402,-0.0122146732627488,0.0477103042868296,-0.180139289855274,0.00765856908509913,-0.002662862843544,0.102238284802351,-0.00609118863649008,-0.0564764003033184,-0.027401575253523,-0.0239714647917707,0.05538922897815,0.0781117323685348,-0.0704240500468654,0.0264249378020881
"sig_36",0.0976071997348066,-0.0512766945909466,-0.0261402031541668,-0.169924151958748,0.0802602330817982,0.458320635542527,-0.0750887971587503,0.0712482461939342,0.0891075529083722,-0.0677982981349671,0.0215855305484236,0.0973432222283608,-0.0111008211778884,-0.0177009817298946,0.00403703608156574,-0.0159747843323163,-0.00818117721642322,0.0782980112782508,0.0544819843384478,0.00632266017617434
"sig_37",0.113052989562971,-0.0347173557728304,0.0969452742839525,-0.0369375373654225,0.181546201642983,0.130172575632573,-0.0572213890327247,-0.0246428820641367,0.00796125342546464,-0.00389102130502245,0.0395969401342441,-0.00614945995564259,0.0477193819561005,-0.0601339258834251,0.0488153531123914,-0.00760990394642775,0.00317885088916992,0.0681317572120368,0.0725711415841778,0.00919331671225903
"sig_38",-0.434081858928551,-0.334469679987829,-0.148041066309193,0.00220749451978729,0.0492117720405335,0.0861997127615939,-0.0193318016155442,-0.153292703393426,0.155921918313203,-0.0781925240454652,0.00617041966827341,-0.0666234929980721,0.00899916081626067,0.00889958596920892,-0.0211493659408197,-0.0443529540473176,0.0279684646198268,0.0363677875464564,0.0515540353545167,-0.0137412733220729
