A2A2A0 TGM2 GO:0060662
A2A2D0 STMN1 GO:0007409
A2A2D0 STMN1 GO:0031115
A2A2D0 STMN1 GO:0051272
A2A2E7 ADIG GO:0045444
A2A2E9 RALGAPB GO:0051056
A2A2F0 RALGAPB GO:0051056
A2A2G5 GGT7 GO:0006749
A2A2I8 KCNG1 GO:0051260
A2A2M1 NFS1 GO:0018283
A2A2Q6 UBOX5 GO:0000209
A2A2R6 GNAS GO:0007186
A2A2S5 RRBP1 GO:0015031
A2A2U4 NQO2 GO:0007613
A2A2V1 PRNP GO:0001933
A2A2V1 PRNP GO:0006979
A2A2V1 PRNP GO:0007611
A2A2V1 PRNP GO:0032689
A2A2V1 PRNP GO:0032700
A2A2V1 PRNP GO:0032703
A2A2V1 PRNP GO:0043066
A2A2V1 PRNP GO:0043066
A2A2V1 PRNP GO:0043433
A2A2V1 PRNP GO:0046007
A2A2V1 PRNP GO:0046686
A2A2V1 PRNP GO:0046688
A2A2V1 PRNP GO:0050860
A2A2V1 PRNP GO:0051260
A2A2V1 PRNP GO:0070885
A2A2V4 VEGFA GO:0051781
A2A341 SYCP2 GO:0007140
A2A341 SYCP2 GO:0007143
A2A341 SYCP2 GO:0009566
A2A341 SYCP2 GO:0043066
A2A341 SYCP2 GO:0048808
A2A352 COL4A2 GO:0006351
A2A352 COL4A2 GO:0071560
A2A369 DOCK8 GO:0007264
A2A370 DOCK8 GO:0007264
A2A376 DDX58 GO:0009615
A2A376 DDX58 GO:0032728
A2A376 DDX58 GO:0043330
A2A376 DDX58 GO:0045087
A2A3C1 BAI2 GO:0007218
A2A3C1 BAI2 GO:0016525
A2A3C2 BAI2 GO:0007218
A2A3C2 BAI2 GO:0016525
A2A3C3 BAI2 GO:0007218
A2A3C3 BAI2 GO:0016525
A2A3C4 BAI2 GO:0007218
A2A3C4 BAI2 GO:0016525
A2A3C6 BAI2 GO:0007218
A2A3C6 BAI2 GO:0016525
A2A3D8 PCDH15 GO:0007156
A2A3D9 PCDH15 GO:0001964
A2A3D9 PCDH15 GO:0002009
A2A3D9 PCDH15 GO:0007015
A2A3D9 PCDH15 GO:0007601
A2A3D9 PCDH15 GO:0007628
A2A3D9 PCDH15 GO:0035058
A2A3D9 PCDH15 GO:0035264
A2A3D9 PCDH15 GO:0050910
A2A3D9 PCDH15 GO:0050973
A2A3D9 PCDH15 GO:0060013
A2A3D9 PCDH15 GO:0060088
A2A3E1 PCDH15 GO:0007156
A2A3E2 PCDH15 GO:0007156
A2A3E3 PCDH15 GO:0007156
A2A3E4 PCDH15 GO:0007156
A2A3E5 PCDH15 GO:0007156
A2A3E6 PCDH15 GO:0007156
A2A3E7 PCDH15 GO:0001964
A2A3E7 PCDH15 GO:0002009
A2A3E7 PCDH15 GO:0007015
A2A3E7 PCDH15 GO:0007156
A2A3E7 PCDH15 GO:0007601
A2A3E7 PCDH15 GO:0007628
A2A3E7 PCDH15 GO:0035058
A2A3E7 PCDH15 GO:0035264
A2A3E7 PCDH15 GO:0050910
A2A3E7 PCDH15 GO:0050973
A2A3E7 PCDH15 GO:0060013
A2A3E7 PCDH15 GO:0060088
A2A3E8 PCDH15 GO:0007156
A2A3H2 KATNAL1 GO:0007283
A2A3H2 KATNAL1 GO:0051013
A2A3K4 PTPDC1 GO:0060271
A2A3R5 RPS6 GO:0006412
A2A3R5 RPS6 GO:0042593
A2A3R7 RPS6 GO:0006412
A2A3S1 VDAC2 GO:0032272
A2A3S1 VDAC2 GO:2001243
A2AAZ0 HLA-DQB1 GO:0002504
A2AAZ0 HLA-DQB1 GO:0006955
A2AB10 FLOT1 GO:0007409
A2AB10 FLOT1 GO:0035023
A2AB10 FLOT1 GO:0072659
A2AB12 FLOT1 GO:0007409
A2AB12 FLOT1 GO:0035023
A2AB12 FLOT1 GO:0072659
A2AB13 FLOT1 GO:0007409
A2AB13 FLOT1 GO:0035023
A2AB13 FLOT1 GO:0072659
A2AB88 PFDN6 GO:0006457
A2AB89 RGL2 GO:0007264
A2AB89 RGL2 GO:0051056
A2AB90 TAPBP GO:0019885
A2AB94 DAXX GO:0000281
A2AB94 DAXX GO:0045892
A2AB94 DAXX GO:0097190
A2AB94 DAXX GO:2001235
A2ABE9 MSH5 GO:0006298
A2ABF0 MSH5 GO:0006298
A2ABF1 MSH5 GO:0006298
A2ABH0 CCHCR1 GO:0030154
A2ABH1 CCHCR1 GO:0030154
A2ABH3 CCHCR1 GO:0006611
A2ABH3 CCHCR1 GO:0030154
A2ABH4 CCHCR1 GO:0006611
A2ABH4 CCHCR1 GO:0030154
A2ABH5 CCHCR1 GO:0030154
A2ABK2 NELFE GO:0034244
A2ABK4 NELFE GO:0034244
A2ABL0 DDR1 GO:0001558
A2ABL0 DDR1 GO:0001952
A2ABL0 DDR1 GO:0007566
A2ABL0 DDR1 GO:0008285
A2ABL0 DDR1 GO:0010715
A2ABL0 DDR1 GO:0014909
A2ABL0 DDR1 GO:0018108
A2ABL0 DDR1 GO:0038063
A2ABL0 DDR1 GO:0043583
A2ABL0 DDR1 GO:0044319
A2ABL0 DDR1 GO:0060444
A2ABL0 DDR1 GO:0060749
A2ABL0 DDR1 GO:0061302
A2ABL2 DDR1 GO:0001558
A2ABL2 DDR1 GO:0001952
A2ABL2 DDR1 GO:0007566
A2ABL2 DDR1 GO:0008285
A2ABL2 DDR1 GO:0010715
A2ABL2 DDR1 GO:0014909
A2ABL2 DDR1 GO:0018108
A2ABL2 DDR1 GO:0038063
A2ABL2 DDR1 GO:0043583
A2ABL2 DDR1 GO:0044319
A2ABL2 DDR1 GO:0060444
A2ABL2 DDR1 GO:0060749
A2ABL2 DDR1 GO:0061302
A2ABL5 GTF2H4 GO:0006289
A2ABN7 PPT2 GO:0006464
A2AC57 MICB GO:0006955
A2AC57 MICB GO:0019882
A2ACQ9 PSMB9 GO:0051603
A2ACR0 PSMB9 GO:0019882
A2ACR0 PSMB9 GO:0051603
A2ACR1 PSMB9 GO:0019882
A2ACR1 PSMB9 GO:0051603
A2ADX3 HLA-DQB2 GO:0002504
A2ADX3 HLA-DQB2 GO:0006955
A2AEA2 HLA-C GO:0001916
A2AEA2 HLA-C GO:0002474
A2AEA2 HLA-C GO:0006955
A2AH61 ZNF488 GO:0014003
A2AH61 ZNF488 GO:0045892
A2AH61 ZNF488 GO:0048714
A2AH62 ZNF488 GO:0014003
A2AH62 ZNF488 GO:0045892
A2AH62 ZNF488 GO:0048714
A2AH63 ZNF488 GO:0014003
A2AH63 ZNF488 GO:0045892
A2AH63 ZNF488 GO:0048714
A2AH64 ZNF488 GO:0014003
A2AH64 ZNF488 GO:0045892
A2AH64 ZNF488 GO:0048714
A2AH65 ZNF488 GO:0014003
A2AH65 ZNF488 GO:0045892
A2AH65 ZNF488 GO:0048714
A2AH66 ZNF488 GO:0014003
A2AH66 ZNF488 GO:0045892
A2AH66 ZNF488 GO:0048714
A2BF26 HLA-C GO:0001916
A2BF26 HLA-C GO:0002474
A2BF26 HLA-C GO:0006955
A2BFH1 PPIAL4G GO:0006457
A2IBA6 LIPH GO:0006629
A2IDA3 MPG GO:0006284
A2IDC9 NME4 GO:0006183
A2IDC9 NME4 GO:0006228
A2IDC9 NME4 GO:0006241
A2IDD0 NME4 GO:0006183
A2IDD0 NME4 GO:0006228
A2IDD0 NME4 GO:0006241
A2IDD5 CCDC78 GO:0003009
A2IDD5 CCDC78 GO:0030030
A2IDD5 CCDC78 GO:0098535
A2PYH4 HFM1 GO:0000712
A2RRD2 SLC5A2 GO:0055085
A2RRD8 ZNF320 GO:0006351
A2RRD8 ZNF320 GO:0006355
A2RRP1 NBAS GO:0000956
A2RRP1 NBAS GO:2000623
A2RRQ4 LEPR GO:0008203
A2RRQ4 LEPR GO:0051346
A2RTX5 TARSL2 GO:0006435
A2RTX5 TARSL2 GO:0008150
A2RU30 TESPA1 GO:0010387
A2RU30 TESPA1 GO:0033089
A2RU30 TESPA1 GO:0050862
A2RU54 HMX2 GO:0006351
A2RU54 HMX2 GO:0007420
A2RU54 HMX2 GO:0008284
A2RU54 HMX2 GO:0030154
A2RU54 HMX2 GO:0042472
A2RUB6 CCDC66 GO:0046548
A2RUB6 CCDC66 GO:0060060
A2RUC4 TYW5 GO:0031591
A2RUC4 TYW5 GO:0031591
A2RUH7 MYBPHL GO:0008150
A2RUS2 DENND3 GO:0008333
A2RUS2 DENND3 GO:0032313
A2RUS2 DENND3 GO:0044257
A2RUU4 CLPSL1 GO:0007586
A2RUU4 CLPSL1 GO:0016042
A2T115 DAOA GO:1900758
A2TJX0 KLF5 GO:0001525
A2TJX0 KLF5 GO:0008284
A2TJX0 KLF5 GO:0030033
A2TJX0 KLF5 GO:0035914
A2TJX0 KLF5 GO:0045893
A2TJX0 KLF5 GO:0071407
A2TJX0 KLF5 GO:1901653
A2VCK2 DCDC2B GO:0035556
A2VCS9 MAP9 GO:0000910
A2VCS9 MAP9 GO:0007088
A2VCS9 MAP9 GO:0051225
A2VDF0 FUOM GO:0006004
A2VEC9 SSPO GO:0007155
A3EY21 SCN5A GO:0003231
A3EY21 SCN5A GO:0014070
A3EY21 SCN5A GO:0086004
A3EY21 SCN5A GO:0086091
A3KFJ1 AURKA GO:0000278
A3KFJ2 AURKA GO:0000278
A3KN61 BRF1 GO:0006352
A3KN61 BRF1 GO:0006355
A3KN83 SBNO1 GO:0006355
A3KN83 SBNO1 GO:0008150
A3QJZ6 PRAMEF22 GO:0008284
A3QJZ6 PRAMEF22 GO:0043066
A3QJZ6 PRAMEF22 GO:0045596
A3QJZ6 PRAMEF22 GO:0045892
A3QJZ6 PRAMEF22 GO:0048387
A4D0S4 LAMB4 GO:0007155
A4D126 ISPD GO:0007411
A4D126 ISPD GO:0008299
A4D126 ISPD GO:0035269
A4D126 ISPD GO:0035269
A4D1B5 GSAP GO:0030162
A4D1B5 GSAP GO:0034205
A4D1E9 GTPBP10 GO:0042254
A4D1F6 LRRD1 GO:0007165
A4D1S5 RAB19 GO:0007264
A4D1S5 RAB19 GO:0015031
A4D1W8 UCC1 GO:0007160
A4D263 C7orf72 GO:0008150
A4D2B8 PMS2P1 GO:0006200
A4D2B8 PMS2P1 GO:0006298
A4D2B8 PMS2P1 GO:0007131
A4D2B8 PMS2P1 GO:0016446
A4D2P6 GRID2IP GO:0060292
A4F3V8 CYP1A1 GO:0001666
A4F3V8 CYP1A1 GO:0006778
A4F3V8 CYP1A1 GO:0007568
A4F3V8 CYP1A1 GO:0008283
A4F3V8 CYP1A1 GO:0009308
A4F3V8 CYP1A1 GO:0009611
A4F3V8 CYP1A1 GO:0009615
A4F3V8 CYP1A1 GO:0009624
A4F3V8 CYP1A1 GO:0009635
A4F3V8 CYP1A1 GO:0009792
A4F3V8 CYP1A1 GO:0009804
A4F3V8 CYP1A1 GO:0009812
A4F3V8 CYP1A1 GO:0010041
A4F3V8 CYP1A1 GO:0014070
A4F3V8 CYP1A1 GO:0017143
A4F3V8 CYP1A1 GO:0019341
A4F3V8 CYP1A1 GO:0032094
A4F3V8 CYP1A1 GO:0032496
A4F3V8 CYP1A1 GO:0033189
A4F3V8 CYP1A1 GO:0042493
A4F3V8 CYP1A1 GO:0042904
A4F3V8 CYP1A1 GO:0043010
A4F3V8 CYP1A1 GO:0046677
A4F3V8 CYP1A1 GO:0046685
A4F3V8 CYP1A1 GO:0048565
A4F3V8 CYP1A1 GO:0050665
A4F3V8 CYP1A1 GO:0055093
A4F3V8 CYP1A1 GO:0060137
A4F3V8 CYP1A1 GO:0070365
A4F3V8 CYP1A1 GO:1900087
A4FUP2 TEAD1 GO:0035329
A4GXA9 EME2 GO:0006281
A4GXA9 EME2 GO:0006310
A4IF30 SLC35F4 GO:0006810
A4KYM5 ING4 GO:0008285
A4KYM5 ING4 GO:0016573
A4KYM5 ING4 GO:0043065
A4Q9G9 PRDM7_V2 GO:0006355
A4QPB2 LRP5L GO:0044332
A4QPB2 LRP5L GO:0060070
A4QPH2 PI4KAP2 GO:0046854
A4QPH2 PI4KAP2 GO:0048015
A4UGR9 XIRP2 GO:0030036
A5A3E0 POTEF GO:0001895
A5D6W6 FITM1 GO:0010890
A5D6W6 FITM1 GO:0034389
A5D8V6 VPS37C GO:0015031
A5D8V6 VPS37C GO:0016032
A5D8V6 VPS37C GO:0016032
A5D8V6 VPS37C GO:0016032
A5D8V6 VPS37C GO:0016197
A5D8V6 VPS37C GO:0019058
A5D8V6 VPS37C GO:0019068
A5D8V6 VPS37C GO:0019082
A5D8V6 VPS37C GO:0061024
A5D8V6 VPS37C GO:0075733
A5LHX3 PSMB11 GO:0000209
A5LHX3 PSMB11 GO:0000278
A5LHX3 PSMB11 GO:0002474
A5LHX3 PSMB11 GO:0002479
A5LHX3 PSMB11 GO:0002479
A5LHX3 PSMB11 GO:0006521
A5LHX3 PSMB11 GO:0006915
A5LHX3 PSMB11 GO:0006977
A5LHX3 PSMB11 GO:0010467
A5LHX3 PSMB11 GO:0016032
A5LHX3 PSMB11 GO:0016070
A5LHX3 PSMB11 GO:0016071
A5LHX3 PSMB11 GO:0031145
A5LHX3 PSMB11 GO:0031145
A5LHX3 PSMB11 GO:0031145
A5LHX3 PSMB11 GO:0031145
A5LHX3 PSMB11 GO:0034641
A5LHX3 PSMB11 GO:0042590
A5LHX3 PSMB11 GO:0042981
A5LHX3 PSMB11 GO:0043066
A5LHX3 PSMB11 GO:0044281
A5LHX3 PSMB11 GO:0051437
A5LHX3 PSMB11 GO:0051439
A5PKU7 TBX4 GO:0006351
A5PKW4 PSD GO:0007165
A5PKW4 PSD GO:0030182
A5PKW4 PSD GO:0032012
A5PKW4 PSD GO:0043087
A5PKW4 PSD GO:0016192
A5PL33 KRBA1 GO:0008150
A5PLK6 RGSL1 GO:0038032
A5PLL3 MYST3 GO:0006334
A5PLL3 MYST3 GO:0006355
A5X5Y0 HTR3E GO:0034220
A5X5Y0 HTR3E GO:0034220
A5X5Y0 HTR3E GO:0055085
A5YKK6 CNOT1 GO:0000122
A5YKK6 CNOT1 GO:0000288
A5YKK6 CNOT1 GO:0000289
A5YKK6 CNOT1 GO:0006351
A5YKK6 CNOT1 GO:0006417
A5YKK6 CNOT1 GO:0007275
A5YKK6 CNOT1 GO:0010467
A5YKK6 CNOT1 GO:0010606
A5YKK6 CNOT1 GO:0016070
A5YKK6 CNOT1 GO:0016071
A5YKK6 CNOT1 GO:0031047
A5YKK6 CNOT1 GO:0033147
A5YKK6 CNOT1 GO:0048387
A5YKK6 CNOT1 GO:0060213
A5YKK6 CNOT1 GO:0090503
A5YKK6 CNOT1 GO:1900153
A5YKK6 CNOT1 GO:2000036
A5YM72 CARNS1 GO:0006200
A5YM72 CARNS1 GO:0035499
A5YM72 CARNS1 GO:0035499
A6BM72 MEGF11 GO:0010842
A6BM72 MEGF11 GO:0034109
A6H8M9 CDHR4 GO:0007156
A6H8Y1 BDP1 GO:0006355
A6H8Y1 BDP1 GO:0006383
A6H8Y1 BDP1 GO:0010467
A6NC05 C5orf63 GO:0055114
A6NC17 MARS GO:0006431
A6NC42 DPPA5 GO:0007275
A6NC89 CNTNAP3 GO:0007155
A6NCB9 EYA1 GO:0042471
A6NCE0 FOXO6 GO:0006351
A6NCE0 FOXO6 GO:0006974
A6NCE0 FOXO6 GO:0007389
A6NCE0 FOXO6 GO:0008286
A6NCE0 FOXO6 GO:0009790
A6NCE0 FOXO6 GO:0009888
A6NCE0 FOXO6 GO:0042127
A6NCE0 FOXO6 GO:0045944
A6NCE0 FOXO6 GO:0048513
A6NCE7 MAP1LC3B2 GO:0006914
A6NCL1 GMNC GO:0006260
A6NCL1 GMNC GO:0006275
A6NCL1 GMNC GO:0007049
A6NCL1 GMNC GO:0008283
A6NCL2 LRCOL1 GO:0007586
A6NCL2 LRCOL1 GO:0016042
A6NCP5 ARHGAP44 GO:0007165
A6NCR4 SYT8 GO:0007340
A6NCS4 NKX2-6 GO:0006351
A6NCS4 NKX2-6 GO:0008284
A6NCS4 NKX2-6 GO:0021854
A6NCS4 NKX2-6 GO:0030154
A6NCS4 NKX2-6 GO:0035050
A6NCS4 NKX2-6 GO:0035050
A6NCS4 NKX2-6 GO:0043066
A6NCS4 NKX2-6 GO:0043586
A6NCS4 NKX2-6 GO:0048565
A6NCS4 NKX2-6 GO:0055014
A6NCS4 NKX2-6 GO:0055015
A6NCS4 NKX2-6 GO:0060037
A6NCS4 NKX2-6 GO:0060039
A6NCS9 SDCCAG8 GO:0030010
A6NCS9 SDCCAG8 GO:0035148
A6NCW0 USP17L3 GO:0006511
A6NCW0 USP17L3 GO:0006915
A6NCW7 USP17L4 GO:0006511
A6ND22 MRPS16 GO:0006412
A6ND91 ASPDH GO:0006742
A6ND91 ASPDH GO:0009435
A6NDB9 PALM3 GO:0001960
A6NDB9 PALM3 GO:0008063
A6NDB9 PALM3 GO:0032496
A6NDC7 RASGRP2 GO:0007264
A6NDC7 RASGRP2 GO:0051056
A6NDD2 A6NDD2 GO:0042742
A6NDD5 SYNDIG1L GO:0009607
A6NDE4 RBMY1B GO:0006397
A6NDE4 RBMY1B GO:0007283
A6NDE4 RBMY1B GO:0008380
A6NDE4 RBMY1B GO:0008584
A6NDG6 PGP GO:0005975
A6NDG6 PGP GO:0016311
A6NDG6 PGP GO:0035335
A6NDI8 HDAC6 GO:0000209
A6NDI8 HDAC6 GO:0007026
A6NDI8 HDAC6 GO:0043162
A6NDI8 HDAC6 GO:0043241
A6NDI8 HDAC6 GO:0070201
A6NDI8 HDAC6 GO:0070842
A6NDI8 HDAC6 GO:0070846
A6NDI8 HDAC6 GO:0071218
A6NDJ3 TSPY8 GO:0006334
A6NDJ8 A6NDJ8 GO:0007264
A6NDJ8 A6NDJ8 GO:0015031
A6NDV4 TMEM8B GO:0007160
A6NDV4 TMEM8B GO:0007346
A6NDV4 TMEM8B GO:0040008
A6NDX5 ZNF840 GO:0006351
A6NDX5 ZNF840 GO:0006355
A6NDZ8 MBD3L4 GO:0006351
A6NDZ8 MBD3L4 GO:0006355
A6NE02 BTBD17 GO:0009615
A6NE02 BTBD17 GO:0045071
A6NE09 RPSAP58 GO:0000028
A6NE09 RPSAP58 GO:0006412
A6NE09 RPSAP58 GO:0007155
A6NE76 CUL4B GO:0006511
A6NE78 TNNT3 GO:0006942
A6NE82 MBD3L3 GO:0006351
A6NE82 MBD3L3 GO:0006355
A6NEC3 TSPY4 GO:0006334
A6NEJ1 SSX10 GO:0006351
A6NEJ1 SSX10 GO:0006355
A6NEM5 PIGK GO:0016255
A6NEP8 ABCD1 GO:0006810
A6NEQ0 RBMY1E GO:0006397
A6NEQ0 RBMY1E GO:0008380
A6NEW7 TACR2 GO:0014057
A6NEW7 TACR2 GO:0014827
A6NEW7 TACR2 GO:0033685
A6NEW7 TACR2 GO:0035106
A6NEW7 TACR2 GO:0043117
A6NEW7 TACR2 GO:0070459
A6NEW7 TACR2 GO:0070474
A6NF01 POM121B GO:0015031
A6NF01 POM121B GO:0051028
A6NF31 OFD1 GO:0060271
A6NF31 OFD1 GO:0060287
A6NF36 CCDC182 GO:0008585
A6NF51 BPNT1 GO:0046854
A6NFA1 TRABD2B GO:0008152
A6NFA1 TRABD2B GO:0016055
A6NFA1 TRABD2B GO:0018158
A6NFA1 TRABD2B GO:0030178
A6NFD8 HELT GO:0000122
A6NFD8 HELT GO:0001967
A6NFD8 HELT GO:0006351
A6NFD8 HELT GO:0007417
A6NFD8 HELT GO:0009791
A6NFD8 HELT GO:0010259
A6NFD8 HELT GO:0021858
A6NFD8 HELT GO:0035264
A6NFF2 NAP1L6 GO:0006334
A6NFI3 ZNF316 GO:0006351
A6NFI3 ZNF316 GO:0006355
A6NFM0 POLR2J2 GO:0006366
A6NFN3 RBFOX3 GO:0000381
A6NFN3 RBFOX3 GO:0006397
A6NFN3 RBFOX3 GO:0008380
A6NFQ7 DPRX GO:0006351
A6NFQ9 SEPT8 GO:0007049
A6NFR2 CACNG6 GO:0006816
A6NFR9 PRAMEF14 GO:0008284
A6NFR9 PRAMEF14 GO:0043066
A6NFR9 PRAMEF14 GO:0045596
A6NFR9 PRAMEF14 GO:0045892
A6NFR9 PRAMEF14 GO:0048387
A6NFV8 DTNBP1 GO:0001956
A6NFV8 DTNBP1 GO:0010628
A6NFX1 MFSD2B GO:0006810
A6NFY7 SDHAF1 GO:0016226
A6NFY7 SDHAF1 GO:0034553
A6NG08 HSPB11 GO:0007155
A6NG13 A6NG13 GO:0005975
A6NG73 A6NG73 GO:0006397
A6NG75 RBM38 GO:0010830
A6NGB9 WIPF3 GO:0007275
A6NGB9 WIPF3 GO:0007283
A6NGB9 WIPF3 GO:0030154
A6NGB9 WIPF3 GO:0038096
A6NGB9 WIPF3 GO:0045087
A6NGD5 ZSCAN5C GO:0006357
A6NGD5 ZSCAN5C GO:0006366
A6NGE7 URAD GO:0006144
A6NGE7 URAD GO:0008150
A6NGE7 URAD GO:0019428
A6NGE7 URAD GO:0019628
A6NGG8 C2orf71 GO:0007601
A6NGG8 C2orf71 GO:0050896
A6NGH2 ATP1B1 GO:0006813
A6NGH2 ATP1B1 GO:0006814
A6NGI5 HFM1 GO:0000712
A6NGL4 TSPY8 GO:0006334
A6NGN4 PRAMEF25 GO:0008284
A6NGN4 PRAMEF25 GO:0043066
A6NGN4 PRAMEF25 GO:0045596
A6NGN4 PRAMEF25 GO:0045892
A6NGN4 PRAMEF25 GO:0048387
A6NGQ2 OOEP GO:0001701
A6NGQ2 OOEP GO:0006468
A6NGQ2 OOEP GO:0007566
A6NGQ2 OOEP GO:0009566
A6NGQ2 OOEP GO:0009880
A6NGQ2 OOEP GO:0035088
A6NGQ2 OOEP GO:0043623
A6NGQ4 ATG4C GO:0006914
A6NGQ4 ATG4C GO:0015031
A6NGT6 TSPY2 GO:0006334
A6NGU5 GGT3P GO:0006749
A6NGU5 GGT3P GO:0006750
A6NGU5 GGT3P GO:0019370
A6NGV6 ARNT GO:0006351
A6NGX9 PLCH2 GO:0048015
A6NH01 AP1S2 GO:0006886
A6NH01 AP1S2 GO:0016192
A6NH21 SERINC4 GO:0008654
A6NH36 RPS4X GO:0006412
A6NH57 ARL5C GO:0007264
A6NHC0 CAPN8 GO:0006508
A6NHE2 RASGRP2 GO:0007264
A6NHE2 RASGRP2 GO:0051056
A6NHF2 BTD GO:0006807
A6NHG8 TRAF3 GO:0007165
A6NHG8 TRAF3 GO:0042981
A6NHH0 PTGES2 GO:0045893
A6NHH0 PTGES2 GO:0046903
A6NHJ4 ZNF860 GO:0006351
A6NHJ4 ZNF860 GO:0006355
A6NHK2 SNRPE GO:0000398
A6NHL2 TUBAL3 GO:0007017
A6NHL2 TUBAL3 GO:0051258
A6NHM7 ARHGAP22 GO:0007165
A6NHQ2 FBLL1 GO:0006364
A6NHQ2 FBLL1 GO:0008033
A6NHR2 MRPL37 GO:0006412
A6NHR9 SMCHD1 GO:0051276
A6NHR9 SMCHD1 GO:0060821
