"","X.D.","X.E.","X.O.","X.B.","X.C.","X.M.","X.A.","X.T.","X.U.","X.R.","X.F.","X.G.","X.P."
"YAL023C",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,2.98770077949324,-0.0368981167395476,-0.216740786205873
"YAL024C",2.15151871070886,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL029C",-0.464471781220026,-0.117404090153221,2.5486424290772,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL030W",-0.464471781220026,-0.117404090153221,2.5486424290772,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL032C",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,2.2630761377917,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL033W",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,2.2630761377917,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL035W",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,4.61066763383402
"YAL038W",-0.464471781220026,8.51179653610851,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL040C",2.15151871070886,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL041W",2.15151871070886,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,-0.441575831764233,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
"YAL043C",-0.464471781220026,-0.117404090153221,-0.392098835242646,-0.312678190396485,-0.29668667178222,-0.173529962029668,-0.134139075214589,2.2630761377917,-0.392098835242646,-0.123219456823112,-0.334477848233736,-0.0368981167395476,-0.216740786205873
