ID,death,protein metabolism,cell cycle and proliferation,other metabolic processes,signal transduction,stress response,developmental processes,cell adhesion,DNA metabolism,cell-cell signaling,other biological processes,cell organization and biogenesis,RNA metabolism,transport
P05388,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q8IYD1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O75398,0,0,0,0,0,0,1,0,0,0,0,0,0,0
B4DLH2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O75390,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O75396,0,0,0,0,0,0,0,0,0,0,0,0,0,1
O75394,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C9JH37,0,0,0,0,0,0,0,0,0,0,1,0,0,0
J3KQP8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
F5GWV7,0,0,0,0,0,0,0,0,0,0,0,1,0,0
F5GWV6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
J3KQP6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D6R983,0,0,0,0,0,0,0,0,0,0,1,0,0,0
B4DIR7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D6R981,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D6R986,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Q66K89,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q1T7F6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q9BSD3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P68543,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A8MXB1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P62633,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q9UI09,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F5H2U8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
F5H2U0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F5H2U1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F5H2U5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
F5H2U7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P24903,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Q9HCQ5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A2RUS2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
E9PS14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E9PS15,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E9PS12,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E9PIQ2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
E9PDS8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E9PIQ1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
E9PIQ6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
K7EP51,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E9PDS3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
K7EP57,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q5D0K5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
K7EJU4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
