"","EC1","EC2","EC3","EC4","EC5","EC6"
"ec:1.5.99.8",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.8.1.2",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.8.1.4",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.8.1.7",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.8.1.9",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.8.4.14",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.8.4.8",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.1.10",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.1.100",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.1.107",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.1.14",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.1.16",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.1.17",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.1.45",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.2.1",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.2.10",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.2.11",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.2.2",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.2.3",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.2.9",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.3.2",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.1.3.3",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.2.1.1",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.2.1.2",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:2.2.1.6",-0.495340672026076,1.18726593055791,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
