ID,sig_0,sig_1,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_8,sig_9,sig_10,sig_11,sig_12,sig_13,sig_14,sig_15,sig_16,sig_17,sig_18,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_29,sig_30,sig_31,sig_32,sig_33,sig_34,sig_35,sig_36,sig_37,sig_38,sig_39,sig_40,sig_41,sig_42,sig_43,sig_44,sig_45,sig_46,sig_47,sig_48,sig_49,sig_50,sig_51,sig_52,sig_53,sig_54,sig_55,sig_56,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_67,sig_68,sig_69,sig_70,sig_71,sig_72
CHL_1990,5.0,221.0,0.0,10.0,274.0,0.0,4452.0,0.0,0.0,959.0,326.0,0.0,279.0,0.0,10.0,271.0,0.0,0.0,1408.0,4500.0,0.0,0.0,57960.0,0.0,2956.0,1318.0,0.0,281.0,0.0,86.0,0.0,22374.0,4102.0,0.0,0.0,59.0,0.0,0.0,0.0,8088.0,7262.0,0.0,0.0,244.0,0.0,403.0,135.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3222.0,0.0,2547.0,273.0,0.0,732.0,0.0,0.0,0.0,0.0,0.0,1430.0,216.0,0.0,0.0,0.0,207.0,0.0,5.0
PAN_1990,2.0,112.0,0.0,1.0,139.0,0.0,2525.0,0.0,0.0,619.0,28.0,0.0,42.0,0.0,0.0,72.0,0.0,0.0,472.0,3436.0,0.0,0.0,35882.0,0.0,3549.0,132.0,0.0,32.0,0.0,4.0,0.0,14794.0,246.0,0.0,0.0,17.0,0.0,0.0,0.0,6052.0,1129.0,0.0,0.0,0.0,0.0,245.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,0.0,2232.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGY_1990,6.0,256.0,0.0,15.0,300.0,0.0,4832.0,0.0,0.0,996.0,384.0,0.0,448.0,0.0,20.0,194.0,0.0,0.0,1204.0,5635.0,0.0,0.0,59736.0,0.0,3700.0,1396.0,0.0,121.0,0.0,75.0,0.0,22345.0,4030.0,0.0,0.0,104.0,0.0,0.0,0.0,7393.0,9664.0,0.0,0.0,151.0,0.0,321.0,297.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5233.0,0.0,2169.0,416.0,0.0,813.0,0.0,0.0,0.0,0.0,0.0,2008.0,352.0,0.0,0.0,0.0,480.0,0.0,15.0
ARG_1990,7.0,282.0,0.0,21.0,265.0,0.0,5258.0,0.0,0.0,971.0,582.0,0.0,555.0,0.0,35.0,251.0,0.0,0.0,761.0,5222.0,0.0,0.0,64122.0,0.0,2455.0,2147.0,0.0,184.0,0.0,160.0,0.0,22519.0,6328.0,0.0,0.0,85.0,0.0,0.0,0.0,6663.0,12836.0,0.0,0.0,364.0,0.0,237.0,244.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6192.0,0.0,1861.0,810.0,0.0,926.0,0.0,0.0,0.0,0.0,0.0,2268.0,645.0,0.0,0.0,0.0,710.0,0.0,35.0
TUN_1990,3.0,149.0,0.0,3.0,186.0,0.0,2799.0,0.0,0.0,851.0,42.0,0.0,128.0,0.0,1.0,7.0,0.0,0.0,1001.0,3544.0,0.0,0.0,31494.0,0.0,4944.0,112.0,0.0,0.0,0.0,2.0,0.0,16482.0,169.0,0.0,0.0,46.0,0.0,0.0,0.0,8156.0,1683.0,0.0,0.0,0.0,0.0,167.0,129.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1873.0,0.0,2638.0,13.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,800.0,8.0,0.0,0.0,0.0,40.0,0.0,0.0
OMN_1990,3.0,77.0,0.0,3.0,561.0,0.0,877.0,0.0,0.0,478.0,80.0,0.0,37.0,0.0,1.0,557.0,0.0,0.0,7321.0,2232.0,0.0,0.0,7824.0,0.0,6246.0,0.0,0.0,963.0,0.0,116.0,0.0,5036.0,990.0,0.0,0.0,48.0,0.0,0.0,0.0,3401.0,554.0,0.0,0.0,186.0,0.0,1188.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,1760.0,24.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,190.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0
QAT_1990,1.0,49.0,0.0,0.0,100.0,0.0,834.0,0.0,0.0,342.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,559.0,1482.0,0.0,0.0,8434.0,0.0,2950.0,0.0,0.0,21.0,0.0,0.0,0.0,5281.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3334.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO_1990,2.0,118.0,0.0,1.0,104.0,0.0,2796.0,0.0,0.0,651.0,34.0,0.0,42.0,0.0,0.0,23.0,0.0,0.0,197.0,3156.0,0.0,0.0,40871.0,0.0,2568.0,264.0,0.0,10.0,0.0,4.0,0.0,16438.0,296.0,0.0,0.0,28.0,0.0,0.0,0.0,6863.0,1380.0,0.0,0.0,1.0,0.0,141.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,2296.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU_1990,1.0,65.0,0.0,0.0,67.0,0.0,1717.0,0.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,159.0,2194.0,0.0,0.0,27668.0,0.0,1844.0,0.0,0.0,11.0,0.0,0.0,0.0,10584.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3999.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KWT_1990,3.0,145.0,0.0,3.0,235.0,0.0,2836.0,0.0,0.0,793.0,78.0,0.0,106.0,0.0,1.0,110.0,0.0,0.0,934.0,4197.0,0.0,0.0,37495.0,0.0,5509.0,225.0,0.0,52.0,0.0,11.0,0.0,15195.0,775.0,0.0,0.0,33.0,0.0,0.0,0.0,7185.0,2617.0,0.0,0.0,3.0,0.0,393.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,0.0,2596.0,23.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,706.0,16.0,0.0,0.0,0.0,30.0,0.0,0.0
